query_symbol,network,pool_id,pool_address,pool_name,dex_id,dex_name,base_token_symbol,base_token_name,base_token_address,quote_token_symbol,quote_token_name,quote_token_address,price_usd,tvl_usd,volume_h24_usd,volume_h6_usd,volume_h1_usd,volume_tvl_h24,tx_h24,fdv_usd,market_cap_usd,raw_api_url,dex_preferred,score
CHECK,base,base_0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,CHECK / USDC 0.25%,aerodrome-slipstream-3,Aerodrome Slipstream 3,CHECK,Checkmate,0x9126236476efba9ad8ab77855c60eb5bf37586eb,USDC,USD Coin,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0234292407283176,620865.4679,3585470.32554842,784734.147892035,142101.471622204,5.774955301791588,22729.0,23429240.73,8878801.36750627,https://api.geckoterminal.com/api/v2/networks/base/pools/0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,True,55.51305243035383
TRU,base,base_0x08a8ae8947b6becd626d2cc65c4e052201279bc5,0x08a8ae8947b6becd626d2cc65c4e052201279bc5,TRUMP / WETH,uniswap-v2-base,Uniswap V2 (Base),TRUMP,OFFICIAL BARRON TRUMP,0x07c320c41f0c25e345d8971b24ca19956bace1bb,WETH,Wrapped Ether,0x4200000000000000000000000000000000000006,0.00625310143822014,41553.7857,234627.046546553,58028.1623542696,11900.4387652093,5.646345876653856,100.0,6250882.29095455,0.0,https://api.geckoterminal.com/api/v2/networks/base/pools/0x08a8ae8947b6becd626d2cc65c4e052201279bc5,True,46.54691026755826
TRU,base,base_0x8f9029a1722f2746812f795f7b4e62ab1841d739,0x8f9029a1722f2746812f795f7b4e62ab1841d739,TTPA / WETH 0.05%,uniswap-v3-base,Uniswap V3 (Base),TTPA,TRUMPTOPIA,0x9d3695161c606ef124e6a468c48be7a102ba6ce2,WETH,Wrapped Ether,0x4200000000000000000000000000000000000006,0.00105463901290127,31747716.0112,504158.90504779,0.0,0.0,0.015880162997235207,982.0,105463901.3,0.0,https://api.geckoterminal.com/api/v2/networks/base/pools/0x8f9029a1722f2746812f795f7b4e62ab1841d739,True,42.67085184666504
CHECK,base,base_0x5a7b4970b2610aee4776a6944d9f2171ee6060b0,0x5a7b4970b2610aee4776a6944d9f2171ee6060b0,CHECK / USDC 2%,aerodrome-slipstream-2,Aerodrome Slipstream 2,CHECK,Checkmate,0x9126236476efba9ad8ab77855c60eb5bf37586eb,USDC,USD Coin,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0.0234524448469926,62014.7478,183328.027328087,4368.1732768862,0.0,2.956200481848722,1975.0,23452444.85,8887594.85658097,https://api.geckoterminal.com/api/v2/networks/base/pools/0x5a7b4970b2610aee4776a6944d9f2171ee6060b0,True,42.13712030848253
MEZO,base,base_0xa0eed82e20cab62a5698e898e9fd4c4db412ee7e,0xa0eed82e20cab62a5698e898e9fd4c4db412ee7e,MUSD / USDC 0.01%,pancakeswap-v3-base,Pancakeswap V3 (Base),MUSD,Mezo USD,0xdd468a1ddc392dcdbef6db6e34e89aa338f9f186,USDC,USD Coin,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1.00684563676624,62832.6097,185523.983597909,29440.3495483463,1174.7535205663,2.952670348784017,598.0,1003204.78071056,23236881.3365722,https://api.geckoterminal.com/api/v2/networks/base/pools/0xa0eed82e20cab62a5698e898e9fd4c4db412ee7e,True,41.8644373690625
MEZO,base,base_0xff56d037d948fad1027a1ac82ae610e4b694c641,0xff56d037d948fad1027a1ac82ae610e4b694c641,MUSD / USDC 0.002%,aerodrome-slipstream-3,Aerodrome Slipstream 3,MUSD,Mezo USD,0xdd468a1ddc392dcdbef6db6e34e89aa338f9f186,USDC,USD Coin,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1.00626059558298,742415.692,452568.892563773,53346.398830673,3017.4571433495,0.6095896105651993,362.0,1002786.69426549,23227197.3465244,https://api.geckoterminal.com/api/v2/networks/base/pools/0xff56d037d948fad1027a1ac82ae610e4b694c641,True,39.95609615903511
MEZO,base,base_0xef458a3263d2a8c7f3ed9e949ae2f9b345d08b1f,0xef458a3263d2a8c7f3ed9e949ae2f9b345d08b1f,MEZO / MUSD 0.3%,aerodrome-slipstream-3,Aerodrome Slipstream 3,MEZO,MEZO,0x8e4cbbcc33db6c0a18561fde1f6ba35906d4848b,MUSD,Mezo USD,0xdd468a1ddc392dcdbef6db6e34e89aa338f9f186,0.0378374207013912,537444.8169,154917.117806913,31856.0015695107,7381.1999663937,0.28824748687777885,1041.0,2380184.46583291,18918710.35,https://api.geckoterminal.com/api/v2/networks/base/pools/0xef458a3263d2a8c7f3ed9e949ae2f9b345d08b1f,True,37.163599822293435
TRU,base,base_0x1fae246b1b2d0ce47126bbb109850da355352d77,0x1fae246b1b2d0ce47126bbb109850da355352d77,TRUE / WETH,uniswap-v2-base,Uniswap V2 (Base),TRUE,True,0x21cfcfc3d8f98fc728f48341d10ad8283f6eb7ab,WETH,Wrapped Ether,0x4200000000000000000000000000000000000006,0.0386063645608484,335472.7612,68910.1369841633,1194.8013052493,134.6515359988,0.20541201836378273,123.0,3860636.456,3421014.8135619,https://api.geckoterminal.com/api/v2/networks/base/pools/0x1fae246b1b2d0ce47126bbb109850da355352d77,True,34.49493101238025
MEZO,base,base_0xfcd3f5ca230e7c1bd5b415eb85d5186346de0fec,0xfcd3f5ca230e7c1bd5b415eb85d5186346de0fec,MEZO / MUSD 0.3%,aerodrome-slipstream-2,Aerodrome Slipstream 2,MEZO,MEZO,0x8e4cbbcc33db6c0a18561fde1f6ba35906d4848b,MUSD,Mezo USD,0xdd468a1ddc392dcdbef6db6e34e89aa338f9f186,0.037897175638936,107912.6996,36379.362950721,5624.0861221749,729.2415246163,0.3371184585833584,436.0,2382146.99502213,18934309.36,https://api.geckoterminal.com/api/v2/networks/base/pools/0xfcd3f5ca230e7c1bd5b415eb85d5186346de0fec,True,32.855078525747864
7,base,base_0x8ffd336d457ada04a2d5112f8f0c1f1a84577f2f,0x8ffd336d457ada04a2d5112f8f0c1f1a84577f2f,WIRE / VIRTUAL,uniswap-v2-base,Uniswap V2 (Base),WIRE,717ai,0x0b3ae50babe7ffa4e1a50569cee6bdefd4ccaee0,VIRTUAL,Virtual Protocol,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,0.0034145503251047,378989.4361,21607.9191824981,4085.1063644274,0.0,0.057014568545379306,113.0,3275444.40180657,3260242.39353598,https://api.geckoterminal.com/api/v2/networks/base/pools/0x8ffd336d457ada04a2d5112f8f0c1f1a84577f2f,True,32.137402863047626
