event_type,id,timestamp,block_number,tx_hash,log_index,pool,fee_tier,gas_used,gas_price_wei,sender,recipient,origin,owner,token0,token0_symbol,token0_decimals,token1,token1_symbol,token1_decimals,amount0,amount1,amount_usd,liquidity_amount,sqrt_price_x96,tick,tick_lower,tick_upper,datetime_utc
burn,0xa805176cbcc7dbc36d9700ff51f194940fd2933b94bc56ec8bff5a6ca6119ee8#1123486,1775001743,24781038,0xa805176cbcc7dbc36d9700ff51f194940fd2933b94bc56ec8bff5a6ca6119ee8,375,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,152644745.0,,,0x641169964b55211a1c3559245379f11f765b083c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,198960,200220,2026-04-01T00:02:23+00:00
burn,0x791dbb257dd12969b1085da16a761370f5dba4e79f9454047465557a7167c0a5#1123488,1775001743,24781038,0x791dbb257dd12969b1085da16a761370f5dba4e79f9454047465557a7167c0a5,426,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,152644745.0,,,0xdc7b1ebbc9f79c082b2e0f02ee3077a8d974fa8e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,199260,200640,2026-04-01T00:02:23+00:00
burn,0x0fcc14bfc3226cbff1a3c6954b6f78dfdbb3d1b01b5356029281c0a68b541778#1123489,1775001767,24781040,0x0fcc14bfc3226cbff1a3c6954b6f78dfdbb3d1b01b5356029281c0a68b541778,1854,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,154006632.0,,,0xdc7b1ebbc9f79c082b2e0f02ee3077a8d974fa8e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,199260,200640,2026-04-01T00:02:47+00:00
burn,0xb4adafefb259a543a3b667ad4bb824c848f376241d45275827bfb6221f1a8b36#1123490,1775001947,24781055,0xb4adafefb259a543a3b667ad4bb824c848f376241d45275827bfb6221f1a8b36,593,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,117105163.0,,,0x55d1cdf31f4692378637cb28d5fd4a83cd4c26bf,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,199500,200940,2026-04-01T00:05:47+00:00
burn,0x254cd3ebe61a4c1304ec48d25fc4078a270c1e2b5a953b73c48e30999569b304#1123510,1775005259,24781331,0x254cd3ebe61a4c1304ec48d25fc4078a270c1e2b5a953b73c48e30999569b304,660,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,231734726.0,,,0x508a312cf7334b44b9ff22ac0bac1b3db9eed4e1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,199320,201360,2026-04-01T01:00:59+00:00
burn,0x01ac03960c190c8d9b31f14ded5cee577214847aadb2f26ca399081beffbe053#1123511,1775005307,24781335,0x01ac03960c190c8d9b31f14ded5cee577214847aadb2f26ca399081beffbe053,781,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,608124573.0,,,0x58699ab86f0449c30fd286a6b1546767c98ad30c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,1.54922,0.000336659818703855,2.258866856660198,86333224014.0,,,195840,209700,2026-04-01T01:01:47+00:00
burn,0xc2a824eebadf1296b64679d8f844f12d0348c42c3c64ba43eb58c7cea1ffeb72#1123512,1775005343,24781338,0xc2a824eebadf1296b64679d8f844f12d0348c42c3c64ba43eb58c7cea1ffeb72,260,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,203085722.0,,,0x508a312cf7334b44b9ff22ac0bac1b3db9eed4e1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,39.064389,0.005634883639683171,50.942187419610896,11240875136893.0,,,199320,201360,2026-04-01T01:02:23+00:00
burn,0xc2a824eebadf1296b64679d8f844f12d0348c42c3c64ba43eb58c7cea1ffeb72#1123513,1775005343,24781338,0xc2a824eebadf1296b64679d8f844f12d0348c42c3c64ba43eb58c7cea1ffeb72,262,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,203085722.0,,,0x508a312cf7334b44b9ff22ac0bac1b3db9eed4e1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,199320,201360,2026-04-01T01:02:23+00:00
burn,0xff9d348bab2b9a81e4a87b669eca62343464ae9d5ecc18ca393a2a22232996ac#1123543,1775010335,24781754,0xff9d348bab2b9a81e4a87b669eca62343464ae9d5ecc18ca393a2a22232996ac,460,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,141071295.0,,,0x7b258fe59b8415e14b527ceb911d48af919731b4,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,60.038394,0.03399999995992466,131.26763537944507,13832082520067.0,,,197460,201840,2026-04-01T02:25:35+00:00
burn,0x9b9212c0e20553063032e53eb4b7b10071a07267c545dd25fb7df9ddd5be581d#1123564,1775017019,24782305,0x9b9212c0e20553063032e53eb4b7b10071a07267c545dd25fb7df9ddd5be581d,95,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,188376333.0,,,0xc8856a97e23f8ed3903892d414bb099ab7831866,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,198300,201300,2026-04-01T04:16:59+00:00
burn,0x42578387679f8f1e11508d50ffd73ae7a4427769a3cce81bff01ed62da62a163#1123581,1775019707,24782529,0x42578387679f8f1e11508d50ffd73ae7a4427769a3cce81bff01ed62da62a163,194,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,618442275.0,,,0x2d943fa0c88f333aa825d45f903ed8dd20c16d72,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,199620,201120,2026-04-01T05:01:47+00:00
burn,0xfb93278de0495504ef6e4acb5569077a23859517341ac58382821ff5d93e42c8#1123582,1775020379,24782584,0xfb93278de0495504ef6e4acb5569077a23859517341ac58382821ff5d93e42c8,83,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,2197165389.0,,,0x462a24696595297ccc6f7e6b40a653287b81b3f6,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,195420,209280,2026-04-01T05:12:59+00:00
burn,0x08713f0e2a356bc5db8aef3739be6e2264abb4698c92238349480cb43dbfb839#1123589,1775021027,24782638,0x08713f0e2a356bc5db8aef3739be6e2264abb4698c92238349480cb43dbfb839,760,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,1113990597.0,,,0x976301e87d7f6efc8616f9e2237b158d3c20bb80,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.001612909943549093,3.4115773960197333,293838045283.0,,,192540,198720,2026-04-01T05:23:47+00:00
burn,0x372285ed8ea7a17836c98e8ca2c7d331fe511f8aff6f594d794242e72bcd9893#1123596,1775022143,24782731,0x372285ed8ea7a17836c98e8ca2c7d331fe511f8aff6f594d794242e72bcd9893,194,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,620389350.0,,,0x0320618babfa9d52f72b0565bfad3f22b3fc0c78,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,198480,201960,2026-04-01T05:42:23+00:00
burn,0x93dfd5363e00af9e154a287092af41fba76703c47c09f6254a1cbdaa572e96af#1123597,1775022191,24782734,0x93dfd5363e00af9e154a287092af41fba76703c47c09f6254a1cbdaa572e96af,147,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,2105156150.0,,,0x65b1676ead65f44dcc7a3c43cbb21a6c1738f90a,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,197520,204000,2026-04-01T05:43:11+00:00
burn,0x52f6f8ad6bc21c02d8488cf090e34497da942919ff42df4f8ae61ab9fa47b44d#1123605,1775023775,24782865,0x52f6f8ad6bc21c02d8488cf090e34497da942919ff42df4f8ae61ab9fa47b44d,993,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,3000.0,0.0,122110964.0,,,0x431bfd88ba89a56206231ff3be504eccc59319fe,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,110736.50666,0.6150580662740688,112044.98395986283,4.168777395080812e+16,,,199680,200880,2026-04-01T06:09:35+00:00
