equity_end,trades,profit_factor,max_drawdown_%,win_rate_%,w_rsi,w_stoch,w_mfi,w_hcp,error
200.0,0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.3,0.2,0.1,0.1,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.3,0.2,0.2,0.0,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.3,0.2,0.2,0.1,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.3,0.3,0.2,0.0,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.3,0.3,0.2,0.1,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.4,0.2,0.1,0.1,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.4,0.2,0.2,0.0,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.4,0.2,0.2,0.1,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.4,0.3,0.1,0.0,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.4,0.3,0.1,0.1,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.4,0.3,0.2,0.0,attempted relative import with no known parent package
200.0,0,0.0,0.0,0.0,0.4,0.3,0.2,0.1,attempted relative import with no known parent package
