event_type,id,timestamp,block_number,tx_hash,log_index,pool,fee_tier,gas_used,gas_price_wei,sender,recipient,origin,owner,token0,token0_symbol,token0_decimals,token1,token1_symbol,token1_decimals,amount0,amount1,amount_usd,liquidity_amount,sqrt_price_x96,tick,tick_lower,tick_upper,datetime_utc
burn,0xfa3028f6152b1b9460c57d268e6e876375611f3e78e222fc3cef0610af730277#11181854,1775001671,24781032,0xfa3028f6152b1b9460c57d268e6e876375611f3e78e222fc3cef0610af730277,394,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,2126334539.0,,,0x1a30f0e5fa91350d6122a5b247924f8c266d6339,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,267.182204,0.10463341720635627,486.97808297048215,213097453485339.0,,,199360,200370,2026-04-01T00:01:11+00:00
burn,0x3fdd48a55d839f1878a3c1276868f7d40d9f0ce0ef577f136767e2f4e2f82ba3#11181892,1775002079,24781066,0x3fdd48a55d839f1878a3c1276868f7d40d9f0ce0ef577f136767e2f4e2f82ba3,590,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,127004265.0,,,0x625a6b7f9a025503f9740de520a5ecc09624d13f,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,9.999999,0.0,9.999999,49084899532145.0,,,200020,200110,2026-04-01T00:07:59+00:00
burn,0x48735ece2e25ce8456aea834ddca9a19cd1994503f8efb41acce353d7e9ebc42#11181998,1775003099,24781151,0x48735ece2e25ce8456aea834ddca9a19cd1994503f8efb41acce353d7e9ebc42,113,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,219369627.0,,,0xd8f9d8084f7e833934f8c372e4a56aa6f0409f09,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,92.474182,0.019792895327520193,134.0516899713508,32819993606146.0,,,199270,201100,2026-04-01T00:24:59+00:00
burn,0xb2bd5ed1e7b9c2fe82492f8dc45b85f60f9c767aadd9bdc7deacb0b99efa8479#11182038,1775003867,24781215,0xb2bd5ed1e7b9c2fe82492f8dc45b85f60f9c767aadd9bdc7deacb0b99efa8479,69,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,611572477.0,,,0x059f966136283ef6ceb7791a38648cd780e64738,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,198910,204620,2026-04-01T00:37:47+00:00
burn,0x2dc019e9da44e9b21fbccac8fc25d1a69e5ab7095d8b3695a6ca220756effb10#11182152,1775005319,24781336,0x2dc019e9da44e9b21fbccac8fc25d1a69e5ab7095d8b3695a6ca220756effb10,273,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,2111162809.0,,,0xb0ae3d91c4f58b5c6eedd4ddacbb24d0e6654927,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,199880,200880,2026-04-01T01:01:59+00:00
burn,0x2dc019e9da44e9b21fbccac8fc25d1a69e5ab7095d8b3695a6ca220756effb10#11182153,1775005319,24781336,0x2dc019e9da44e9b21fbccac8fc25d1a69e5ab7095d8b3695a6ca220756effb10,286,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,2111162809.0,,,0xb0ae3d91c4f58b5c6eedd4ddacbb24d0e6654927,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,2223.646369,0.0,2223.646369,997817385352788.0,,,199880,200880,2026-04-01T01:01:59+00:00
burn,0x1f1f785d052f62cb50d8c0932a4c4f6beedc5c1addd52d32c427d08c1fa32beb#11182222,1775005919,24781386,0x1f1f785d052f62cb50d8c0932a4c4f6beedc5c1addd52d32c427d08c1fa32beb,873,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,115384381.0,,,0xd0e55741fa3c208a243a7486a04305a0d9d66eb6,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,194160,201940,2026-04-01T01:11:59+00:00
burn,0x869abe83449bebf531d86bb7c62cd23f5df0aca5401c056d1b7a8bc1ace73363#11182231,1775005979,24781391,0x869abe83449bebf531d86bb7c62cd23f5df0aca5401c056d1b7a8bc1ace73363,168,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,113862059.0,,,0xd0e55741fa3c208a243a7486a04305a0d9d66eb6,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,193630,200820,2026-04-01T01:12:59+00:00
burn,0x90b6d4603194578e015c4b642a2cdd052ae0d6101a41d62ae26501b34a7f12fc#11182273,1775006411,24781427,0x90b6d4603194578e015c4b642a2cdd052ae0d6101a41d62ae26501b34a7f12fc,175,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,2125574904.0,,,0x78c604b7c9eb253c8c421a6b0f48c171925354e6,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,433.580397,0.10321467252862783,651.0556311883694,276852434498761.0,,,199470,200510,2026-04-01T01:20:11+00:00
burn,0x46b63291fb445152505e8afb17448829e5f9032641cedb35675f8308f9a40d73#11182294,1775006999,24781476,0x46b63291fb445152505e8afb17448829e5f9032641cedb35675f8308f9a40d73,164,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,2118062180.0,,,0x08cd3b0d681bac80f8587509efc0de4261b6a4a6,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0.0,0.0,0.0,0.0,,,196250,200400,2026-04-01T01:29:59+00:00
