event_type,id,timestamp,block_number,tx_hash,log_index,pool,fee_tier,gas_used,gas_price_wei,sender,recipient,origin,owner,token0,token0_symbol,token0_decimals,token1,token1_symbol,token1_decimals,amount0,amount1,amount_usd,liquidity_amount,sqrt_price_x96,tick,tick_lower,tick_upper,datetime_utc
swap,0x1ee15fad0a3e450c7ecb67b79aafe0343021e9f79db2a3b2485f2d03516c7232#11181850,1775001623,24781028,0x1ee15fad0a3e450c7ecb67b79aafe0343021e9f79db2a3b2485f2d03516c7232,20,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,1888678674.0,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0x5b43453fce04b92e190f391a83136bfbecedefd1,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-16561.04645,7.872861733138471,16549.499861954966,,1.7270279485870313e+33,199801.0,,,2026-04-01T00:00:23+00:00
burn,0xfa3028f6152b1b9460c57d268e6e876375611f3e78e222fc3cef0610af730277#11181854,1775001671,24781032,0xfa3028f6152b1b9460c57d268e6e876375611f3e78e222fc3cef0610af730277,394,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,2126334539.0,,,0x1a30f0e5fa91350d6122a5b247924f8c266d6339,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,267.182204,0.10463341720635627,486.97808297048215,213097453485339.0,,,199360.0,200370.0,2026-04-01T00:01:11+00:00
swap,0x002f51ddc8da2033db03b132f5bbf7cad83434a496cc5aec2b386b4e03fdb405#11181855,1775001671,24781032,0x002f51ddc8da2033db03b132f5bbf7cad83434a496cc5aec2b386b4e03fdb405,1182,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,156810277.0,0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,0xf48a3f7c0575c85cf4529aa220caf3c055773f1c,0x4337012eaf1f862b8dbdc6b62a01782ae01ef038,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-1747.063951,0.8316956732255512,1747.0735572111055,,1.728221611459647e+33,199815.0,,,2026-04-01T00:01:11+00:00
swap,0x1c6be382508fb78a5328a2f6a32326c70d69531356b0bb74a2afc5d5bd864b8b#11181856,1775001683,24781033,0x1c6be382508fb78a5328a2f6a32326c70d69531356b0bb74a2afc5d5bd864b8b,36,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,138913062.0,0xfd0b31d2e955fa55e3fa641fe90e08b677188d35,0xe27008a503a9e6a37b8abb32aa123640f0508dd2,0x69ceecca02e7614cc4ba208d4be6160a1d15be39,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-19305.957812,9.190987004629612,19306.400925586517,,1.7282769327025662e+33,199816.0,,,2026-04-01T00:01:23+00:00
swap,0x45c393e9352c3a440d567c9a15df006e7fdc73c70a8ddf2d2fca3d8ca47f2df7#11181861,1775001743,24781038,0x45c393e9352c3a440d567c9a15df006e7fdc73c70a8ddf2d2fca3d8ca47f2df7,936,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,152644745.0,0xe592427a0aece92de3edee1f18e0157c05861564,0xd863eb005efae37777a5b2e4592558e59db9ab6e,0x9fbcc72a6bc74d0060e14fe8b8f4b7ccfa63ea03,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-418.414914,0.19920812603567867,418.43853407417356,,1.728307761970021e+33,199816.0,,,2026-04-01T00:02:23+00:00
swap,0x12ea292b9a679dfa09e2310688d83c7313e2a3c319d65239369800b5d81633b6#11181863,1775001767,24781040,0x12ea292b9a679dfa09e2310688d83c7313e2a3c319d65239369800b5d81633b6,125,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,2247335118.0,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,0x89ee5b4082873bb145808d31860467233fdea93a,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-1183.220315,0.5633351567925253,1183.2889406653926,,1.728311532897923e+33,199816.0,,,2026-04-01T00:02:47+00:00
swap,0x3dbfaa42bb21338dbc99237aedc3f004126c74c6d88a2f22b949abda9379b303#11181864,1775001767,24781040,0x3dbfaa42bb21338dbc99237aedc3f004126c74c6d88a2f22b949abda9379b303,294,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,228181610.0,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0x5934e06498db785ff26807161ce9d09063231321,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,6200.024172,-2.948876653530324,6197.258421556255,,1.728293774508082e+33,199816.0,,,2026-04-01T00:02:47+00:00
swap,0x0febda2f66b6b3fea0215e3705ea726db93ff4a3768ef69a71f7526b1818fdfa#11181865,1775001767,24781040,0x0febda2f66b6b3fea0215e3705ea726db93ff4a3768ef69a71f7526b1818fdfa,1935,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,154006632.0,0xe592427a0aece92de3edee1f18e0157c05861564,0xd863eb005efae37777a5b2e4592558e59db9ab6e,0x9fbcc72a6bc74d0060e14fe8b8f4b7ccfa63ea03,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-132.849375,0.06324887099203985,132.8558600869043,,1.7282941552077993e+33,199816.0,,,2026-04-01T00:02:47+00:00
swap,0x145fa78649aa152bede4cc0b7ed3fd55531ee0b51f6b13fc34ca637eab51b954#11181872,1775001815,24781044,0x145fa78649aa152bede4cc0b7ed3fd55531ee0b51f6b13fc34ca637eab51b954,20,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,2813374316.0,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0x5b43453fce04b92e190f391a83136bfbecedefd1,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,44128.465704,-20.967952563528424,44087.16628455226,,1.727392024816643e+33,199805.0,,,2026-04-01T00:03:35+00:00
swap,0x0ce65f7b30f87fa0be4973b323fd057029e8ce9441b126af07297f2830750204#11181884,1775001995,24781059,0x0ce65f7b30f87fa0be4973b323fd057029e8ce9441b126af07297f2830750204,1071,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,500.0,0.0,121239242.0,0xe592427a0aece92de3edee1f18e0157c05861564,0xd863eb005efae37777a5b2e4592558e59db9ab6e,0x9fbcc72a6bc74d0060e14fe8b8f4b7ccfa63ea03,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-219.095166,0.10423463180389717,219.0266726072846,,1.7276695632658462e+33,199809.0,,,2026-04-01T00:06:35+00:00
