symbol,side,entry_time,exit_time,entry,exit,tp,sl,reason,gross_return,net_return,notional,fees_paid,realized_pnl
M/USDT:USDT,LONG,2025-09-07T23:00:00+00:00,2025-09-07T23:20:00+00:00,1.8547,1.9326000000000005,1.9326000000000005,1.8349399999999998,TP,0.04200140184396427,0.03940140184396426,2.2,0.0044,0.08668308405672139
M/USDT:USDT,LONG,2025-09-07T23:20:00+00:00,2025-09-08T01:35:00+00:00,1.9545,1.8345879999999999,2.4272299999999998,1.8345879999999999,SL,-0.06135175236633411,-0.06395175236633412,2.2,0.0044,-0.14069385520593508
NMR/USDT:USDT,LONG,2025-09-08T00:55:00+00:00,2025-09-08T01:35:00+00:00,19.899,19.670199999999998,20.80100000000001,19.670199999999998,SL,-0.011498065229408674,-0.014098065229408674,2.2,0.0044,-0.031015743504699086
TA/USDT:USDT,LONG,2025-09-08T00:25:00+00:00,2025-09-08T03:20:00+00:00,0.15156,0.21900500000000006,0.21900500000000006,0.134452,TP,0.44500527843758286,0.44240527843758287,2.2,0.0044,0.9732916125626824
TA/USDT:USDT,LONG,2025-09-08T03:20:00+00:00,2025-09-08T03:50:00+00:00,0.22103,0.2064908,0.278348,0.2064908,SL,-0.06577930597656427,-0.06837930597656428,2.2,0.0044,-0.1504344731484414
AVAX/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T04:05:00+00:00,24.865,24.817159999999998,25.053599999999996,24.817159999999998,SL,-0.0019239895435351206,-0.0045239895435351205,2.2,0.0044,-0.009952776995777266
LTC/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T04:05:00+00:00,114.62,113.7776,117.94100000000002,113.7776,SL,-0.007349502704589057,-0.009949502704589058,2.2,0.0044,-0.02188890595009593
SOL/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T04:05:00+00:00,207.568,207.15616000000003,209.19159999999997,207.15616000000003,SL,-0.0019841208664147835,-0.004584120866414783,2.2,0.0044,-0.010085065906112524
ATOM/USDT:USDT,LONG,2025-09-08T04:00:00+00:00,2025-09-08T04:05:00+00:00,4.501,4.48852,4.550200000000002,4.48852,SL,-0.002772717173961352,-0.005372717173961351,2.2,0.0044,-0.011819977782714973
BIO/USDT:USDT,LONG,2025-09-08T03:35:00+00:00,2025-09-08T04:20:00+00:00,0.17185,0.1696088,0.1806855,0.1696088,SL,-0.013041606051789344,-0.015641606051789346,2.2,0.0044,-0.034411533313936565
ENA/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T04:20:00+00:00,0.767,0.763984,0.7788900000000001,0.763984,SL,-0.003932203389830533,-0.006532203389830533,2.2,0.0044,-0.014370847457627173
BTC/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T04:45:00+00:00,110997.4,110925.64,111280.29999999999,110925.64,SL,-0.0006465016297678573,-0.0032465016297678574,2.2,0.0044,-0.007142303585489286
ETH/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T04:45:00+00:00,4309.95,4299.8204,4349.883999999999,4299.8204,SL,-0.002350282485875755,-0.004950282485875755,2.2,0.0044,-0.010890621468926661
ARB/USDT:USDT,LONG,2025-09-08T04:15:00+00:00,2025-09-08T04:45:00+00:00,0.4981,0.4961606880466472,0.5057453644314869,0.4961606880466472,SL,-0.003893418898519945,-0.006493418898519945,2.2,0.0044,-0.01428552157674388
BIO/USDT:USDT,LONG,2025-09-08T04:20:00+00:00,2025-09-08T04:45:00+00:00,0.16855,0.17836385097355276,0.17836385097355276,0.16606063292378176,TP,0.05822516151618363,0.05562516151618362,2.2,0.0044,0.12237535533560398
BCH/USDT:USDT,LONG,2025-09-08T04:20:00+00:00,2025-09-08T04:50:00+00:00,602.28,600.7100978550604,608.4690373021655,600.7100978550604,SL,-0.0026065985005969535,-0.005206598500596953,2.2,0.0044,-0.011454516701313299
1000CAT/USDT:USDT,LONG,2025-09-08T04:40:00+00:00,2025-09-08T04:50:00+00:00,0.00746,0.007419238454870938,0.007620694552912646,0.007419238454870938,SL,-0.005464014092367554,-0.008064014092367554,2.2,0.0044,-0.01774083100320862
A/USDT:USDT,LONG,2025-09-08T04:40:00+00:00,2025-09-08T04:50:00+00:00,0.47051,0.46960536896262817,0.4740763338973311,0.46960536896262817,SL,-0.001922660596739319,-0.004522660596739319,2.2,0.0044,-0.009949853312826502
AAPLX/USDT:USDT,LONG,2025-09-08T04:40:00+00:00,2025-09-08T05:10:00+00:00,239.21,238.71317930398584,241.1686200515943,238.71317930398584,SL,-0.002076922770846405,-0.004676922770846405,2.2,0.0044,-0.010289230095862092
A/USDT:USDT,LONG,2025-09-08T04:50:00+00:00,2025-09-08T05:20:00+00:00,0.46954,0.468659276299409,0.47301208381963755,0.468659276299409,SL,-0.0018757160211930863,-0.004475716021193087,2.2,0.0044,-0.009846575246624792
AAVE/USDT:USDT,LONG,2025-09-08T04:00:00+00:00,2025-09-08T05:30:00+00:00,301.46,299.97279999999995,307.323,299.97279999999995,SL,-0.004933324487494294,-0.007533324487494294,2.2,0.0044,-0.01657331387248745
ADA/USDT:USDT,LONG,2025-09-08T04:00:00+00:00,2025-09-08T05:30:00+00:00,0.83936,0.8361567999999999,0.8519880000000003,0.8361567999999999,SL,-0.003816240945482359,-0.006416240945482359,2.2,0.0044,-0.014115730080061192
1000000BOB/USDT:USDT,LONG,2025-09-08T04:40:00+00:00,2025-09-08T05:30:00+00:00,0.05529,0.05491287634401321,0.056776737489947895,0.05491287634401321,SL,-0.006820829372161074,-0.009420829372161075,2.2,0.0044,-0.020725824618754368
AVAX/USDT:USDT,LONG,2025-09-08T04:05:00+00:00,2025-09-08T05:35:00+00:00,24.783,24.70693142857143,25.082885714285712,24.70693142857143,SL,-0.003069385119984319,-0.005669385119984318,2.2,0.0044,-0.012472647263965502
1000XEC/USDT:USDT,LONG,2025-09-08T04:40:00+00:00,2025-09-08T05:35:00+00:00,0.01961,0.019554980257580658,0.019826904753768554,0.019554980257580658,SL,-0.0028056982365803765,-0.005405698236580376,2.2,0.0044,-0.011892536120476829
1000BONK/USDT:USDT,LONG,2025-09-08T05:15:00+00:00,2025-09-08T05:35:00+00:00,0.021686,0.02155822438064788,0.022189730807061252,0.02155822438064788,SL,-0.005892078730615226,-0.008492078730615225,2.2,0.0044,-0.018682573207353496
A/USDT:USDT,LONG,2025-09-08T05:20:00+00:00,2025-09-08T05:40:00+00:00,0.4685,0.46761920627282666,0.4719723598859719,0.46761920627282666,SL,-0.0018800293002633251,-0.004480029300263325,2.2,0.0044,-0.009856064460579315
