symbol,side,entry_time,exit_time,entry,exit,tp,sl,action,reason,gross_return,net_return,notional,fees_paid,realized_pnl
HIFI/USDT:USDT,LONG,2025-09-11T05:15:00+00:00,2025-09-11T05:40:00+00:00,0.07833,0.07998,0.09031564028280639,0.07551598010751502,EXIT,heat<0.90,0.021064726158559925,0.015864726158559925,49.0,0.098,0.7773715817694363
NAORIS/USDT:USDT,SHORT,2025-09-11T05:40:00+00:00,2025-09-11T06:10:00+00:00,0.07002,0.0737373979213066,0.05418663848332374,0.0737373979213066,SL,SL,-0.05309051587127389,-0.058290515871273894,49.0,0.098,-2.856235277692421
NAORIS/USDT:USDT,SHORT,2025-09-11T06:10:00+00:00,2025-09-11T06:50:00+00:00,0.07374,0.07696918593022783,0.059986059926807354,0.07696918593022783,SL,SL,-0.04379150976712551,-0.04899150976712551,49.0,0.098,-2.40058397858915
NAORIS/USDT:USDT,SHORT,2025-09-11T06:50:00+00:00,2025-09-11T07:30:00+00:00,0.07703,0.07561,0.06355977771830948,0.0801925739270056,EXIT,heat<0.90,0.01843437621705835,0.01323437621705835,49.0,0.098,0.6484844346358591
BAKE/USDT:USDT,SHORT,2025-09-11T07:30:00+00:00,2025-09-11T10:35:00+00:00,0.1016,0.101,0.0848470984342106,0.1055332899328375,EXIT,heat<0.90,0.005905511811023518,0.0007055118110235177,49.0,0.098,0.03457007874015237
NAORIS/USDT:USDT,SHORT,2025-09-11T11:45:00+00:00,2025-09-11T12:35:00+00:00,0.06589,0.06823356692727317,0.05590814086531798,0.06823356692727317,SL,SL,-0.03556786958981888,-0.040767869589818886,49.0,0.098,-1.9976256099011254
NAORIS/USDT:USDT,SHORT,2025-09-11T12:35:00+00:00,2025-09-11T14:25:00+00:00,0.07034,0.06279,0.05912749891065054,0.07297250025576031,TP_PARTIAL,TP50,0.10733579755473417,0.10213579755473418,24.5,0.049,2.502327040090987
NAORIS/USDT:USDT,SHORT,2025-09-11T12:35:00+00:00,2025-09-11T14:30:00+00:00,0.07034,0.06422,0.05912749891065054,0.07297250025576031,TP_PARTIAL,TP50,0.08700597099800968,0.08180597099800968,12.25,0.0245,1.0021231447256187
NAORIS/USDT:USDT,SHORT,2025-09-11T12:35:00+00:00,2025-09-11T15:10:00+00:00,0.07034,0.06792,0.05912749891065054,0.07297250025576031,EXIT,heat<0.90,0.03440432186522612,0.02920432186522612,12.25,0.0245,0.35775294284901993
HIFI/USDT:USDT,LONG,2025-09-11T16:45:00+00:00,2025-09-11T19:15:00+00:00,0.08237,0.08302,0.09395152777970982,0.07965085869519856,EXIT,heat<0.90,0.00789122253247539,0.0026912225324753902,49.0,0.098,0.13186990409129412
NAORIS/USDT:USDT,LONG,2025-09-12T01:45:00+00:00,2025-09-12T04:15:00+00:00,0.0772,0.07953,0.0879306965341926,0.07468061907458087,EXIT,heat<0.90,0.03018134715025905,0.02498134715025905,49.0,0.098,1.2240860103626934
BAKE/USDT:USDT,SHORT,2025-09-12T05:50:00+00:00,2025-09-12T06:20:00+00:00,0.0923,0.0841,0.07725686119803321,0.09583186737089654,TP_PARTIAL,TP50,0.08884073672806067,0.08364073672806067,24.5,0.049,2.0491980498374867
BAKE/USDT:USDT,SHORT,2025-09-12T05:50:00+00:00,2025-09-12T06:25:00+00:00,0.0923,0.0847,0.07725686119803321,0.09583186737089654,TP_PARTIAL,TP50,0.08234019501625131,0.07714019501625131,12.25,0.0245,0.9449673889490786
