ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-24T12:37:15,tp,3.25,-1.598329,0.607022,-1.015058,-0.244538,111,18.656341075897217,tune_tmp/t2880_s1_rays_tp_3p25.yaml
2025-08-24T12:37:33,tp,3.3,-3.424583,0.713521,-1.032263,-0.167187,165,18.00126886367798,tune_tmp/t2880_s1_rays_tp_3p3.yaml
2025-08-24T12:37:51,tp,3.35,-1.144573,0.61127,-1.010783,-0.241257,117,17.424861431121826,tune_tmp/t2880_s1_rays_tp_3p35.yaml
2025-08-24T12:40:19,tp,3.25,-1.598329,0.607022,-1.015058,-0.244538,111,27.117568016052246,tune_tmp/t2880_s1_rays_tp_3p25.yaml
2025-08-24T12:40:46,tp,3.3,-3.424583,0.713521,-1.032263,-0.167187,165,27.21040177345276,tune_tmp/t2880_s1_rays_tp_3p3.yaml
2025-08-24T12:41:13,tp,3.35,-1.144573,0.61127,-1.010783,-0.241257,117,26.49851942062378,tune_tmp/t2880_s1_rays_tp_3p35.yaml
2025-08-24T12:41:39,tp,3.4,79.000164,0.925887,-0.495354,-0.038483,134,26.036290168762207,tune_tmp/t2880_s1_rays_tp_3p4.yaml
2025-08-24T12:42:05,tp,3.45,79.000164,0.925887,-0.495354,-0.038483,134,26.39043617248535,tune_tmp/t2880_s1_rays_tp_3p45.yaml
2025-08-24T12:42:32,tp,3.5,23.078998,0.738926,-0.801165,-0.150135,127,26.43549609184265,tune_tmp/t2880_s1_rays_tp_3p5.yaml
2025-08-24T12:42:57,tp,3.55,2.668566,0.744177,-0.975797,-0.146672,168,24.858785152435303,tune_tmp/t2880_s1_rays_tp_3p55.yaml
2025-08-24T12:43:26,tp,3.6,10.177138,0.749443,-0.91422,-0.143221,158,29.059276342391968,tune_tmp/t2880_s1_rays_tp_3p6.yaml
2025-08-24T12:43:50,tp,3.65,12.681734,0.756043,-0.894827,-0.138924,158,24.023141622543335,tune_tmp/t2880_s1_rays_tp_3p65.yaml
2025-08-24T12:44:20,tp,3.7,79.052048,0.940499,-0.464791,-0.030663,167,30.070117712020874,tune_tmp/t2880_s1_rays_tp_3p7.yaml
2025-08-24T12:44:44,tp,3.75,84.186107,0.954718,-0.534642,-0.023165,167,24.75246262550354,tune_tmp/t2880_s1_rays_tp_3p75.yaml
2025-08-24T12:45:11,sl,1.02,-0.872959,0.732351,-1.006998,-0.154501,166,26.116610527038574,tune_tmp/t2880_s2_rays_sl_1p02.yaml
2025-08-24T12:45:40,sl,1.04,61.998566,0.89753,-0.53345,-0.054002,178,29.473289012908936,tune_tmp/t2880_s2_rays_sl_1p04.yaml
2025-08-24T12:46:08,sl,1.06,57.576518,0.88612,-0.538527,-0.060378,178,27.96727442741394,tune_tmp/t2880_s2_rays_sl_1p06.yaml
2025-08-24T12:46:38,sl,1.08,84.186107,0.954718,-0.534642,-0.023165,167,29.46769070625305,tune_tmp/t2880_s2_rays_sl_1p08.yaml
2025-08-24T12:47:08,sl,1.1,-2.267411,0.59587,-1.022674,-0.253235,124,30.53633713722229,tune_tmp/t2880_s2_rays_sl_1p1.yaml
2025-08-24T12:47:39,sl,1.12,3.833582,0.726621,-0.961664,-0.158332,165,30.613757133483887,tune_tmp/t2880_s2_rays_sl_1p12.yaml
2025-08-24T12:48:09,min-mom,0.0,84.186107,0.954718,-0.534642,-0.023165,167,30.754958629608154,tune_tmp/t2880_s3_rays_min-mom_0p0.yaml
2025-08-24T12:48:35,min-mom,0.019,95.484095,0.986633,-0.505283,-0.006728,156,25.320622444152832,tune_tmp/t2880_s3_rays_min-mom_0p019.yaml
2025-08-24T12:49:00,min-mom,0.02,95.484095,0.986633,-0.505283,-0.006728,156,25.675520658493042,tune_tmp/t2880_s3_rays_min-mom_0p02.yaml
2025-08-24T12:49:26,min-mom,0.021,95.484095,0.986633,-0.505283,-0.006728,156,25.608595371246338,tune_tmp/t2880_s3_rays_min-mom_0p021.yaml
2025-08-24T12:49:51,min-mom,0.022,94.627794,0.984107,-0.505283,-0.00801,156,24.65252161026001,tune_tmp/t2880_s3_rays_min-mom_0p022.yaml
2025-08-24T12:50:18,min-mom,0.023,94.627794,0.984107,-0.505283,-0.00801,156,27.364320516586304,tune_tmp/t2880_s3_rays_min-mom_0p023.yaml
2025-08-24T12:50:43,min-mom,0.024,94.627794,0.984107,-0.505283,-0.00801,156,24.76826548576355,tune_tmp/t2880_s3_rays_min-mom_0p024.yaml
2025-08-24T12:51:11,min-atr,0.0,95.484095,0.986633,-0.505283,-0.006728,156,27.946460008621216,tune_tmp/t2880_s4_rays_min-atr_0p0.yaml
2025-08-24T12:51:37,min-atr,0.0005,95.484095,0.986633,-0.505283,-0.006728,156,25.73145818710327,tune_tmp/t2880_s4_rays_min-atr_0p0005.yaml
2025-08-24T12:52:05,min-atr,0.0008,95.484095,0.986633,-0.505283,-0.006728,156,28.48522400856018,tune_tmp/t2880_s4_rays_min-atr_0p0008.yaml
2025-08-24T12:52:34,min-atr,0.001,95.484095,0.986633,-0.505283,-0.006728,156,29.362088203430176,tune_tmp/t2880_s4_rays_min-atr_0p001.yaml
2025-08-24T12:53:00,min-atr,0.0012,95.484095,0.986633,-0.505283,-0.006728,156,25.261938095092773,tune_tmp/t2880_s4_rays_min-atr_0p0012.yaml
