param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
sl,1.0,68.403373,0.732285,89,-0.397126,-0.154544,8.149046,-0.07781822070469879,-0.9119972766781479,4.6875
sl,1.025,71.712626,0.767288,93,-0.378557,-0.131678,8.277035,-0.06713307485796494,-0.875665726151162,4.784722222222222
sl,1.05,67.530806,0.748634,97,-0.408908,-0.14375,7.905557,-0.07877407462009134,-0.914693024468577,4.784722222222222
sl,1.075,66.652413,0.743578,97,-0.416644,-0.147067,7.586165,-0.08129141665487538,-0.9214161651907534,4.784722222222222
sl,1.1,102.961514,1.031413,76,-0.239634,0.015463,7.655302,0.006163142260961596,0.20240874604187864,4.75
sl,1.125,103.627017,1.039104,74,-0.228598,0.019177,8.256595,0.007528808805168152,0.25234558797568374,4.75
sl,1.15,90.747667,0.905224,77,-0.251327,-0.049745,8.427727,-0.01971836744350941,-0.4497931900314648,4.875
sl,1.02,56.450267,0.725447,94,-0.518626,-0.15912,7.432171,-0.11264264267211288,-0.9722695679986059,4.784722222222222
sl,1.04,59.413508,0.748634,97,-0.496325,-0.14375,7.632195,-0.103103490099408,-0.961781818256033,4.784722222222222
sl,1.06,58.560932,0.744702,97,-0.503616,-0.146328,8.526961,-0.10580877208055384,-0.9650930299980784,4.784722222222222
sl,1.08,111.388107,1.094989,80,-0.263827,0.045341,8.419758,0.022729804838855783,0.9625800325162615,4.798611111111111
sl,1.1,103.701893,1.031413,76,-0.285042,0.015463,8.20833,0.007682026762890537,0.25807164395279236,4.75
sl,1.12,104.533771,1.039104,74,-0.272301,0.019177,8.713734,0.009378441525462522,0.3231855298679338,4.75
