param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
tp,3.25,79.602371,0.814173,84,-0.310928,-0.10243,8.122122,-0.046493434659693356,-0.7602764880915474,4.791666666666667
tp,3.3,82.48229,0.836602,83,-0.29939,-0.088968,7.719086,-0.039507225612464225,-0.7015833417275875,4.777777777777778
tp,3.35,82.711881,0.838686,83,-0.294711,-0.087733,7.915531,-0.038782487325077164,-0.6947538170437763,4.798611111111111
tp,3.4,102.961514,1.031413,76,-0.239634,0.015463,7.702966,0.006163142260961596,0.20240874604187864,4.75
tp,3.45,102.961514,1.031413,76,-0.239634,0.015463,8.860051,0.006163142260961596,0.20240874604187864,4.75
tp,3.5,68.559503,0.719335,84,-0.396237,-0.16324,8.581885,-0.07575303415805879,-0.905888866155043,4.791666666666667
tp,3.55,62.605815,0.671414,83,-0.415024,-0.196591,8.81312,-0.09311051460819708,-0.9467118062615848,4.791666666666667
tp,3.6,99.021906,0.988275,67,-0.165659,-0.005897,8.766942,-0.002055136203518826,-0.059851583993063784,4.777777777777778
tp,3.65,99.606478,0.9933,47,-0.120578,-0.003361,7.637826,-0.0012403003606954455,-0.03654751283449942,3.1770833333333335
tp,3.7,72.117722,0.778426,94,-0.414507,-0.12459,7.341254,-0.06594170276481226,-0.8708128019486997,4.791666666666667
tp,3.75,93.034867,0.936622,89,-0.258112,-0.032726,7.664129,-0.014954021102911774,-0.36365142665707917,4.791666666666667
tp,3.25,74.502963,0.814173,84,-0.37603,-0.10243,8.901354,-0.059577146232615785,-0.8416218598187086,4.791666666666667
tp,3.3,78.102863,0.836602,83,-0.362076,-0.088968,8.550147,-0.05041259891388372,-0.788140318098276,4.777777777777778
tp,3.35,78.389852,0.838686,83,-0.355586,-0.087733,9.694319,-0.04947307164954706,-0.7817608069817799,4.798611111111111
tp,3.4,103.701893,1.031413,76,-0.285042,0.015463,8.333329,0.007682026762890537,0.25807164395279236,4.75
tp,3.45,103.701893,1.031413,76,-0.285042,0.015463,7.795282,0.007682026762890537,0.25807164395279236,4.75
tp,3.5,60.699379,0.719335,84,-0.480945,-0.16324,8.547056,-0.09894459689440516,-0.9560918785623388,4.791666666666667
tp,3.55,53.257268,0.671414,83,-0.510407,-0.196591,8.134319,-0.12320823378519163,-0.9806405112812756,4.791666666666667
tp,3.6,98.777382,0.988275,67,-0.199877,-0.005897,7.611138,-0.0025714279936654982,-0.07433436401912896,4.777777777777778
tp,3.65,99.508098,0.9933,47,-0.14829,-0.003361,9.115406,-0.0015508983655365682,-0.04549563962676817,3.1770833333333335
tp,3.7,65.147153,0.778426,94,-0.494858,-0.12459,8.777098,-0.08554826602256238,-0.9316366033364117,4.791666666666667
tp,3.75,91.293584,0.936622,89,-0.307089,-0.032726,8.882102,-0.01883046820623846,-0.43464451681492,4.791666666666667
