symbol,side,entry_time,exit_time,entry,exit,tp,sl,reason,gross_return,net_return,notional,realized_pnl
AGT/USDT:USDT,LONG,2025-08-17T09:35:00+00:00,2025-08-17T10:15:00+00:00,0.005727,0.00563,0.005982007202577352,0.005642622616794259,SL,-0.016937314475292602,-0.019537314475292604,80.0,-1.5629851580234084
LINK/USDT:USDT,LONG,2025-08-17T10:15:00+00:00,2025-08-17T11:00:00+00:00,24.7,24.566,25.0302930212531,24.590711867967723,SL,-0.005425101214574912,-0.008025101214574913,80.0,-0.642008097165993
AGT/USDT:USDT,LONG,2025-08-17T11:00:00+00:00,2025-08-17T12:10:00+00:00,0.005765,0.006066,0.006054723211958188,0.0056691357019256,TP,0.05221162185602776,0.04961162185602776,80.0,3.9689297484822204
AIOT/USDT:USDT,LONG,2025-08-17T12:15:00+00:00,2025-08-17T15:15:00+00:00,0.96911,1.05187,1.0400900951864664,0.9456239390927134,TP,0.0853979424420345,0.08279794244203449,80.0,6.623835395362759
AIOT/USDT:USDT,LONG,2025-08-17T15:15:00+00:00,2025-08-17T16:10:00+00:00,1.05187,1.02915,1.1153359192779644,1.0308702472977325,SL,-0.021599627330373593,-0.02419962733037359,80.0,-1.9359701864298873
LINK/USDT:USDT,LONG,2025-08-17T16:30:00+00:00,2025-08-17T16:35:00+00:00,26.247,26.044,26.850205978702945,26.047409786458584,SL,-0.007734217243875468,-0.010334217243875468,80.0,-0.8267373795100375
ALPINE/USDT:USDT,SHORT,2025-08-17T16:50:00+00:00,2025-08-17T17:15:00+00:00,2.4059,2.2678,2.2887258034312636,2.444670873864655,TP,0.05740055696412989,0.05480055696412989,80.0,4.384044557130391
PUMPBTC/USDT:USDT,LONG,2025-08-17T17:30:00+00:00,2025-08-17T17:55:00+00:00,0.04488,0.04417,0.04671672886711524,0.044272258830733935,SL,-0.015819964349376166,-0.018419964349376164,80.0,-1.4735971479500931
EPIC/USDT:USDT,LONG,2025-08-17T18:00:00+00:00,2025-08-18T01:10:00+00:00,2.9124,2.8618,3.0223987827459564,2.8760033439443524,SL,-0.0173739870896854,-0.019973987089685397,80.0,-1.5979189671748317
REX/USDT:USDT,SHORT,2025-08-18T01:15:00+00:00,2025-08-18T01:40:00+00:00,0.03189,0.03228,0.03087733250701608,0.03222507380282556,SL,-0.012229539040451598,-0.014829539040451598,80.0,-1.1863631232361278
BIO/USDT:USDT,SHORT,2025-08-18T01:40:00+00:00,2025-08-18T03:35:00+00:00,0.12682,0.11817,0.119049473967275,0.1293911299372987,TP,0.06820690742785043,0.06560690742785043,80.0,5.248552594228034
FUNTOKEN/USDT:USDT,LONG,2025-08-18T03:40:00+00:00,2025-08-18T03:50:00+00:00,0.00952,0.00945,0.009699811792885397,0.00946050345088351,SL,-0.007352941176470652,-0.009952941176470652,80.0,-0.7962352941176521
BANK/USDT:USDT,SHORT,2025-08-18T03:50:00+00:00,2025-08-18T09:45:00+00:00,0.062178,0.063036,0.059725501218814564,0.062989488567304,SL,-0.013799092926758624,-0.016399092926758625,80.0,-1.31192743414069
VINE/USDT:USDT,LONG,2025-08-18T09:50:00+00:00,2025-08-18T13:40:00+00:00,0.06837,0.06702,0.0706686197716205,0.0676094272814491,SL,-0.019745502413339243,-0.02234550241333924,80.0,-1.7876401930671393
AIOT/USDT:USDT,LONG,2025-08-18T14:15:00+00:00,2025-08-18T15:40:00+00:00,1.04989,1.13636,1.084560692072292,1.038418079829021,TP,0.082361009248588,0.07976100924858799,80.0,6.380880739887039
AIOT/USDT:USDT,LONG,2025-08-18T15:40:00+00:00,2025-08-18T16:05:00+00:00,1.13636,1.11264,1.1904392939829365,1.1184661159615286,SL,-0.020873666795733714,-0.023473666795733712,80.0,-1.8778933436586969
BIO/USDT:USDT,LONG,2025-08-18T16:05:00+00:00,2025-08-18T16:15:00+00:00,0.14319,0.13753,0.15128083071034587,0.14051288689731206,SL,-0.03952789999301626,-0.04212789999301626,80.0,-3.370231999441301
FHE/USDT:USDT,LONG,2025-08-18T16:45:00+00:00,2025-08-18T18:00:00+00:00,0.06927,0.06839,0.07152783601039188,0.06852292190832622,SL,-0.012703912227515402,-0.015303912227515402,80.0,-1.224312978201232
AWE/USDT:USDT,LONG,2025-08-18T18:10:00+00:00,2025-08-18T18:45:00+00:00,0.05273,0.052105,0.053423656075988576,0.05250048144544495,SL,-0.011852835198179415,-0.014452835198179415,80.0,-1.1562268158543532
DOLO/USDT:USDT,LONG,2025-08-18T18:45:00+00:00,2025-08-18T21:50:00+00:00,0.217683,0.226546,0.22482393576722945,0.2153201903711373,TP,0.04071516838705829,0.038115168387058286,80.0,3.0492134709646628
AIOT/USDT:USDT,SHORT,2025-08-18T21:50:00+00:00,2025-08-18T22:15:00+00:00,1.22487,1.25435,1.1647297495146338,1.2447693475870696,SL,-0.0240678602627219,-0.0266678602627219,80.0,-2.133428821017752
MYRO/USDT:USDT,LONG,2025-08-18T22:15:00+00:00,2025-08-18T22:20:00+00:00,0.02697,0.02676,0.02760150016069173,0.02676104774094759,SL,-0.0077864293659622484,-0.01038642936596225,80.0,-0.8309143492769799
ZORA/USDT:USDT,LONG,2025-08-18T22:20:00+00:00,2025-08-18T23:05:00+00:00,0.10809,0.11069,0.1103005629155298,0.107358563741185,TP,0.02405402904986577,0.02145402904986577,80.0,1.7163223239892615
ZORA/USDT:USDT,LONG,2025-08-18T23:05:00+00:00,2025-08-18T23:30:00+00:00,0.11069,0.10902,0.11345607083548283,0.10977475597355348,SL,-0.0150871804137681,-0.0176871804137681,80.0,-1.414974433101448
POL/USDT:USDT,LONG,2025-08-18T23:55:00+00:00,2025-08-19T00:15:00+00:00,0.25913,0.25771,0.2633067091885098,0.2577480006361549,SL,-0.005479874966233289,-0.008079874966233289,80.0,-0.6463899972986631
XCN/USDT:USDT,LONG,2025-08-19T00:15:00+00:00,2025-08-19T01:35:00+00:00,0.01348,0.01425,0.014190242554494642,0.013244993272409862,TP,0.05712166172106824,0.05452166172106823,80.0,4.361732937685458
XCN/USDT:USDT,LONG,2025-08-19T01:35:00+00:00,2025-08-19T02:40:00+00:00,0.01425,0.01389,0.015113311283013969,0.013964345531355673,SL,-0.025263157894736907,-0.02786315789473691,80.0,-2.229052631578953
BERA/USDT:USDT,LONG,2025-08-19T03:10:00+00:00,2025-08-19T03:55:00+00:00,2.353,2.327,2.4116858929324456,2.333581873662059,SL,-0.011049723756906181,-0.01364972375690618,80.0,-1.0919779005524946
XCN/USDT:USDT,SHORT,2025-08-19T04:00:00+00:00,2025-08-19T06:15:00+00:00,0.01292,0.01338,0.012160421924787139,0.013171330980768961,SL,-0.03560371517027867,-0.03820371517027867,80.0,-3.056297213622294
AIOT/USDT:USDT,LONG,2025-08-19T06:15:00+00:00,2025-08-19T09:35:00+00:00,1.40511,1.4942,1.4870000937955654,1.3780140130823497,TP,0.06340428863220665,0.060804288632206646,80.0,4.864343090576532
API3/USDT:USDT,LONG,2025-08-19T09:35:00+00:00,2025-08-19T10:25:00+00:00,1.5254,1.4619,1.6865738130373527,1.4720704295096996,SL,-0.04162842533106078,-0.044228425331060785,80.0,-3.5382740264848627
AIOT/USDT:USDT,LONG,2025-08-19T10:25:00+00:00,2025-08-19T10:45:00+00:00,1.55259,1.51672,1.6477897511408979,1.521090082343085,SL,-0.02310333056376754,-0.025703330563767543,80.0,-2.0562664451014037
AIOT/USDT:USDT,LONG,2025-08-19T11:15:00+00:00,2025-08-19T11:35:00+00:00,1.59726,1.74861,1.6935317421337748,1.5654053794410303,TP,0.09475601968370842,0.09215601968370842,80.0,7.372481574696673
AIOT/USDT:USDT,LONG,2025-08-19T11:35:00+00:00,2025-08-19T12:05:00+00:00,1.74861,1.64009,1.8828157290473435,1.704203692594629,SL,-0.06206072251674184,-0.06466072251674185,80.0,-5.172857801339347
CTC/USDT:USDT,SHORT,2025-08-19T12:05:00+00:00,2025-08-19T13:40:00+00:00,0.74,0.7513,0.7125472524360822,0.7490836297086493,SL,-0.01527027027027024,-0.017870270270270237,80.0,-1.429621621621619
FLOCK/USDT:USDT,SHORT,2025-08-19T13:40:00+00:00,2025-08-19T15:15:00+00:00,0.19368,0.18605,0.1867440067592198,0.19597499776349345,TP,0.039394878149524984,0.03679487814952498,80.0,2.9435902519619983
