side,min-atr,min-mom,tp,sl,position_notional,equity_end,profit_factor,trades,elapsed_sec
BOTH,0,0,2.2,0.9,50.0,95.026119,0.895529,62,1.848433
BOTH,0,0,2.2,1.0,50.0,100.767892,1.014481,63,1.982582
BOTH,0,0,2.6,0.9,50.0,93.070239,0.858856,63,2.142622
BOTH,0,0,2.6,1.0,50.0,109.69621,1.132301,96,1.801913
BOTH,0,0,3.0,0.9,50.0,94.638206,0.803041,36,1.887991
BOTH,0,0,3.0,1.0,50.0,91.167059,0.74036,35,2.458606
BOTH,0,0.01,2.2,0.9,50.0,95.026119,0.895529,62,1.841322
BOTH,0,0.01,2.2,1.0,50.0,100.767892,1.014481,63,1.981864
BOTH,0,0.01,2.6,0.9,50.0,93.070239,0.858856,63,2.240945
BOTH,0,0.01,2.6,1.0,50.0,109.69621,1.132301,96,2.314229
BOTH,0,0.01,3.0,0.9,50.0,94.638206,0.803041,36,1.958698
BOTH,0,0.01,3.0,1.0,50.0,91.167059,0.74036,35,1.979211
BOTH,0,0.015,2.2,0.9,50.0,95.026119,0.895529,62,2.257653
BOTH,0,0.015,2.2,1.0,50.0,100.767892,1.014481,63,2.23627
BOTH,0,0.015,2.6,0.9,50.0,93.070239,0.858856,63,2.20003
BOTH,0,0.015,2.6,1.0,50.0,110.245151,1.140846,95,2.254005
BOTH,0,0.015,3.0,0.9,50.0,94.638206,0.803041,36,2.026924
BOTH,0,0.015,3.0,1.0,50.0,91.167059,0.74036,35,2.266008
BOTH,0,0.02,2.2,0.9,50.0,95.026119,0.895529,62,2.744133
BOTH,0,0.02,2.2,1.0,50.0,100.767892,1.014481,63,2.027518
BOTH,0,0.02,2.6,0.9,50.0,93.070239,0.858856,63,2.351969
BOTH,0,0.02,2.6,1.0,50.0,110.245151,1.140846,95,2.169141
BOTH,0,0.02,3.0,0.9,50.0,94.609161,0.802186,35,2.618678
BOTH,0,0.02,3.0,1.0,50.0,91.167059,0.74036,35,2.062295
BOTH,0.0010,0,2.2,0.9,50.0,95.026119,0.895529,62,2.387484
BOTH,0.0010,0,2.2,1.0,50.0,100.767892,1.014481,63,3.015602
BOTH,0.0010,0,2.6,0.9,50.0,93.070239,0.858856,63,2.066037
BOTH,0.0010,0,2.6,1.0,50.0,109.69621,1.132301,96,2.549271
BOTH,0.0010,0,3.0,0.9,50.0,94.638206,0.803041,36,2.297327
BOTH,0.0010,0,3.0,1.0,50.0,91.167059,0.74036,35,1.941863
BOTH,0.0010,0.01,2.2,0.9,50.0,95.026119,0.895529,62,1.82549
BOTH,0.0010,0.01,2.2,1.0,50.0,100.767892,1.014481,63,1.860245
BOTH,0.0010,0.01,2.6,0.9,50.0,93.070239,0.858856,63,2.111161
BOTH,0.0010,0.01,2.6,1.0,50.0,109.69621,1.132301,96,2.010284
BOTH,0.0010,0.01,3.0,0.9,50.0,94.638206,0.803041,36,1.719879
BOTH,0.0010,0.01,3.0,1.0,50.0,91.167059,0.74036,35,1.924499
BOTH,0.0010,0.015,2.2,0.9,50.0,95.026119,0.895529,62,1.984656
BOTH,0.0010,0.015,2.2,1.0,50.0,100.767892,1.014481,63,2.108405
BOTH,0.0010,0.015,2.6,0.9,50.0,93.070239,0.858856,63,1.990323
BOTH,0.0010,0.015,2.6,1.0,50.0,110.245151,1.140846,95,2.203739
BOTH,0.0010,0.015,3.0,0.9,50.0,94.638206,0.803041,36,1.770962
BOTH,0.0010,0.015,3.0,1.0,50.0,91.167059,0.74036,35,1.899425
BOTH,0.0010,0.02,2.2,0.9,50.0,95.026119,0.895529,62,1.916335
BOTH,0.0010,0.02,2.2,1.0,50.0,100.767892,1.014481,63,2.067325
BOTH,0.0010,0.02,2.6,0.9,50.0,93.070239,0.858856,63,1.769416
BOTH,0.0010,0.02,2.6,1.0,50.0,110.245151,1.140846,95,1.968567
BOTH,0.0010,0.02,3.0,0.9,50.0,94.609161,0.802186,35,2.2316
BOTH,0.0010,0.02,3.0,1.0,50.0,91.167059,0.74036,35,2.174752
BOTH,0.0012,0,2.2,0.9,50.0,95.026119,0.895529,62,2.081286
BOTH,0.0012,0,2.2,1.0,50.0,100.767892,1.014481,63,2.287795
BOTH,0.0012,0,2.6,0.9,50.0,93.070239,0.858856,63,2.155912
BOTH,0.0012,0,2.6,1.0,50.0,109.69621,1.132301,96,2.006657
BOTH,0.0012,0,3.0,0.9,50.0,94.638206,0.803041,36,1.746229
BOTH,0.0012,0,3.0,1.0,50.0,91.167059,0.74036,35,2.393229
BOTH,0.0012,0.01,2.2,0.9,50.0,95.026119,0.895529,62,2.082068
BOTH,0.0012,0.01,2.2,1.0,50.0,100.767892,1.014481,63,1.897768
BOTH,0.0012,0.01,2.6,0.9,50.0,93.070239,0.858856,63,2.177763
BOTH,0.0012,0.01,2.6,1.0,50.0,109.69621,1.132301,96,1.684861
BOTH,0.0012,0.01,3.0,0.9,50.0,94.638206,0.803041,36,2.064427
BOTH,0.0012,0.01,3.0,1.0,50.0,91.167059,0.74036,35,2.087551
BOTH,0.0012,0.015,2.2,0.9,50.0,95.026119,0.895529,62,1.773691
BOTH,0.0012,0.015,2.2,1.0,50.0,100.767892,1.014481,63,2.069495
BOTH,0.0012,0.015,2.6,0.9,50.0,93.070239,0.858856,63,2.0375
BOTH,0.0012,0.015,2.6,1.0,50.0,110.245151,1.140846,95,2.094269
BOTH,0.0012,0.015,3.0,0.9,50.0,94.638206,0.803041,36,1.773052
BOTH,0.0012,0.015,3.0,1.0,50.0,91.167059,0.74036,35,1.895303
BOTH,0.0012,0.02,2.2,0.9,50.0,95.026119,0.895529,62,1.920213
BOTH,0.0012,0.02,2.2,1.0,50.0,100.767892,1.014481,63,2.705929
BOTH,0.0012,0.02,2.6,0.9,50.0,93.070239,0.858856,63,2.138213
BOTH,0.0012,0.02,2.6,1.0,50.0,110.245151,1.140846,95,2.008268
