symbol,bars,equity_end_realized,realized_pnl,return_pct,trades,win_rate_pct,profit_factor,mdd_realized_pct,mdd_mtm_pct
GOR/USDT:USDT,500,101.51212186442581,1.5121218644258079,1.5121218644257972,49,100.0,0.0,0.0,-1.4419670646614429
RDO/USDT:USDT,500,101.37550915054194,1.3755091505419443,1.3755091505419426,35,100.0,0.0,0.0,-0.3289322825564444
ASR/USDT:USDT,500,101.25313496066497,1.2531349606649655,1.25313496066497,39,100.0,0.0,0.0,-1.1881865858036065
USELESS/USDT:USDT,500,101.13784779659089,1.13784779659089,1.1378477965908962,74,100.0,0.0,0.0,-3.598923278264849
API3/USDT:USDT,500,101.03686703232547,1.0368670323254747,1.0368670323254836,51,100.0,0.0,0.0,-1.118469764135671
FLOCK/USDT:USDT,500,100.9594619292055,0.9594619292055029,0.9594619292055073,37,100.0,0.0,0.0,-9.03989950978363
SERAPH/USDT:USDT,500,100.9489765908807,0.9489765908807044,0.9489765908807124,26,100.0,0.0,0.0,-0.31504181175113816
ALCH/USDT:USDT,500,100.9458409115355,0.9458409115354982,0.9458409115354893,31,100.0,0.0,0.0,-0.9128339402233908
AIOT/USDT:USDT,500,100.91563167305627,0.9156316730562679,0.9156316730562608,53,100.0,0.0,0.0,-5.078778584970716
LAUNCHCOIN/USDT:USDT,500,100.89978582182025,0.8997858218202452,0.8997858218202426,71,100.0,0.0,0.0,-1.3676117751104826
HOUSE/USDT:USDT,500,100.87057096109648,0.870570961096476,0.870570961096484,67,100.0,0.0,0.0,-3.5463415647044547
ASP/USDT:USDT,500,100.85931265993737,0.8593126599373733,0.8593126599373724,49,100.0,0.0,0.0,-1.2510661768329454
ZORA/USDT:USDT,500,100.8425460045531,0.8425460045530997,0.8425460045530908,42,100.0,0.0,0.0,-6.6568168326822885
DOLO/USDT:USDT,500,100.82892372949996,0.8289237294999623,0.8289237294999641,50,100.0,0.0,0.0,-4.646299708303025
FHE/USDT:USDT,500,100.82257832431738,0.8225783243173765,0.8225783243173801,37,100.0,0.0,0.0,-64.21941926829719
KOMA/USDT:USDT,500,100.81335690229497,0.81335690229497,0.8133569022949594,40,100.0,0.0,0.0,-0.7934846947377285
NAORIS/USDT:USDT,500,100.808960702559,0.8089607025590055,0.8089607025590029,65,100.0,0.0,0.0,-2.5435700923967297
PHA/USDT:USDT,500,100.80175642520324,0.8017564252032372,0.8017564252032372,43,100.0,0.0,0.0,-5.216916565127117
TANSSI/USDT:USDT,500,100.75052022401286,0.7505202240128597,0.7505202240128517,56,100.0,0.0,0.0,-1.4843477862974948
TAC/USDT:USDT,500,100.74768474629596,0.7476847462959597,0.7476847462959624,53,100.0,0.0,0.0,-2.9546300645921586
VINE/USDT:USDT,500,100.74141375199254,0.741413751992539,0.7414137519925479,30,100.0,0.0,0.0,-8.248429266416975
OL/USDT:USDT,500,100.70919165292135,0.7091916529213478,0.7091916529213371,43,100.0,0.0,0.0,-6.1239527817180965
SKYAI/USDT:USDT,500,100.69190868135657,0.6919086813565656,0.6919086813565567,28,100.0,0.0,0.0,-0.9013362330349198
C/USDT:USDT,500,100.66516664818484,0.6651666481848366,0.665166648184834,46,100.0,0.0,0.0,-2.5482102325363987
SPK/USDT:USDT,500,100.66201144990177,0.6620114499017689,0.6620114499017671,44,100.0,0.0,0.0,-1.007979705025255
HIPPO/USDT:USDT,500,100.65435707120398,0.6543570712039752,0.6543570712039815,39,100.0,0.0,0.0,-1.8792766216195356
SANTOS/USDT:USDT,500,100.65157983609251,0.6515798360925089,0.6515798360925196,28,100.0,0.0,0.0,-0.4236018563163784
DOG/USDT:USDT,500,100.6359079724547,0.635907972454703,0.6359079724546968,49,100.0,0.0,0.0,-1.9639586594308767
KMNO/USDT:USDT,500,100.63511853482358,0.6351185348235759,0.6351185348235866,41,100.0,0.0,0.0,-3.267206854104697
MAV/USDT:USDT,500,100.63494984954701,0.634949849547013,0.6349498495470174,47,100.0,0.0,0.0,-2.2189964021607325
PUMP/USDT:USDT,500,100.62435548881321,0.6243554888132081,0.6243554888132108,44,100.0,0.0,0.0,-3.0313086831329836
GTC/USDT:USDT,500,100.6242956225367,0.6242956225367067,0.6242956225366969,42,100.0,0.0,0.0,-1.7093347664483571
SPX/USDT:USDT,500,100.62425423512973,0.624254235129726,0.6242542351297287,44,100.0,0.0,0.0,-2.51445679962009
NEIROETH/USDT:USDT,500,100.62270444231676,0.6227044423167598,0.6227044423167571,50,100.0,0.0,0.0,-4.2415170079078095
LA/USDT:USDT,500,100.6196664896353,0.619666489635307,0.6196664896353177,46,100.0,0.0,0.0,-1.0017835157483939
GRASS/USDT:USDT,500,100.61691271916023,0.6169127191602257,0.616912719160223,36,100.0,0.0,0.0,-0.7084311395391997
ARC/USDT:USDT,500,100.61464820953927,0.6146482095392685,0.6146482095392702,41,100.0,0.0,0.0,-3.1542851224271304
B2/USDT:USDT,500,100.61244702566434,0.6124470256643377,0.6124470256643422,34,100.0,0.0,0.0,-1.4717787906925885
NEO/USDC:USDC,500,100.60974008435026,0.609740084350264,0.6097400843502632,38,100.0,0.0,0.0,-2.8511088868429497
ELX/USDT:USDT,500,100.59879036874317,0.5987903687431668,0.5987903687431739,41,100.0,0.0,0.0,-6.0626323730221
TOSHI/USDT:USDT,500,100.5951971190476,0.5951971190475973,0.595197119047608,49,100.0,0.0,0.0,-1.655112276696492
MYRO/USDT:USDT,500,100.59431262871857,0.5943126287185692,0.5943126287185629,57,100.0,0.0,0.0,-2.239281473037569
ORDER/USDT:USDT,500,100.58654929096664,0.5865492909666443,0.5865492909666425,52,100.0,0.0,0.0,-2.2113954256331776
WIF/USDT:USDT,500,100.58402061224804,0.5840206122480396,0.5840206122480485,44,100.0,0.0,0.0,-1.8297364301541763
CTC/USDT:USDT,500,100.58312835670854,0.5831283567085421,0.583128356708551,46,100.0,0.0,0.0,-1.6435311388470475
RSR/USDT:USDT,500,100.58302075692549,0.5830207569254924,0.5830207569254897,43,100.0,0.0,0.0,-1.5949670075619766
POPCAT/USDC:USDC,500,100.57465011891014,0.5746501189101423,0.5746501189101361,48,100.0,0.0,0.0,-1.4951588966900762
BERA/USDC:USDC,500,100.57135584257593,0.571355842575926,0.5713558425759269,43,100.0,0.0,0.0,-4.9840077716921805
SOON/USDT:USDT,500,100.56555587606081,0.565555876060813,0.5655558760608193,48,100.0,0.0,0.0,-0.6592228603302472
PORTAL/USDT:USDT,500,100.56064604698663,0.5606460469866335,0.5606460469866237,49,100.0,0.0,0.0,-1.9849275128757786
PLAYSOUT/USDT:USDT,500,100.55775789559048,0.557757895590484,0.5577578955904938,36,100.0,0.0,0.0,-5.752087314178655
BERA/USDT:USDT,500,100.55576061050179,0.5557606105017925,0.5557606105017987,43,100.0,0.0,0.0,-4.758161058723863
HUMA/USDT:USDT,500,100.55355883851223,0.553558838512231,0.5535588385122248,17,100.0,0.0,0.0,-0.2586659876654909
SKL/USDT:USDT,500,100.55305592530023,0.5530559253002281,0.5530559253002387,39,100.0,0.0,0.0,-3.0917476055368978
REZ/USDT:USDT,500,100.55291795747044,0.5529179574704415,0.5529179574704335,44,100.0,0.0,0.0,-3.134466231816063
BSW/USDT:USDT,500,100.55114174290235,0.5511417429023453,0.5511417429023391,43,100.0,0.0,0.0,-1.333073931133499
NEIROCTO/USDT:USDT,500,100.54930317253606,0.5493031725360566,0.5493031725360531,46,100.0,0.0,0.0,-2.8193888411164014
ALPINE/USDT:USDT,500,100.54734625910534,0.5473462591053391,0.5473462591053302,44,100.0,0.0,0.0,-1.1591583429226493
AVAAI/USDT:USDT,500,100.54701990050216,0.5470199005021641,0.5470199005021659,48,100.0,0.0,0.0,-1.6620830770148551
ESPORTS/USDT:USDT,500,100.54415038889225,0.5441503888922483,0.5441503888922394,51,100.0,0.0,0.0,-1.2889483691994583
GOAT/USDT:USDT,500,100.54340945388677,0.5434094538867669,0.5434094538867562,44,100.0,0.0,0.0,-2.2137670618407403
LINK/USDC:USDC,500,100.54195732682699,0.5419573268269886,0.5419573268269806,48,100.0,0.0,0.0,-1.6047463552948036
RAY/USDT:USDT,500,100.54125704334459,0.5412570433445865,0.5412570433445785,46,100.0,0.0,0.0,-1.8768240161254792
LINK/USDT:USDT,500,100.54076690372513,0.5407669037251281,0.5407669037251317,49,100.0,0.0,0.0,-1.5931775842371887
AGT/USDT:USDT,500,100.5369255072604,0.5369255072604062,0.5369255072604107,41,100.0,0.0,0.0,-1.7913541491530869
AI16Z/USDT:USDT,500,100.5333228498356,0.5333228498355993,0.5333228498356046,45,100.0,0.0,0.0,-2.8325664696753248
WIF/USDC:USDC,500,100.53204770451278,0.5320477045127774,0.5320477045127836,43,100.0,0.0,0.0,-1.8311395397669985
STRK/USDT:USDT,500,100.5308497751744,0.5308497751744028,0.5308497751744135,53,100.0,0.0,0.0,-1.719823142026676
CHILLGUY/USDT:USDT,500,100.5292673763867,0.5292673763866986,0.5292673763866995,49,100.0,0.0,0.0,-1.4145080627830882
POPCAT/USDT:USDT,500,100.52273686669972,0.5227368666997165,0.5227368666997245,45,100.0,0.0,0.0,-1.5441867417311033
