ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml,score
2025-09-16T20:22:39,strategy_params.tp_atr_mult,3.2,126.817847,1.477432,-2.592,10.015,1339,2.6446011066436768,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_3p2.yaml,82.622031
2025-09-16T20:22:42,strategy_params.tp_atr_mult,3.4,129.514583,1.543228,-2.237,10.861,1298,2.6275179386138916,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_3p4.yaml,90.338319
2025-09-16T20:22:45,strategy_params.tp_atr_mult,3.6,130.531333,1.575843,-2.099,11.118,1250,2.5726664066314697,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_3p6.yaml,93.031449
2025-09-16T20:22:47,strategy_params.tp_atr_mult,3.8,130.026768,1.584751,-2.03,10.793,1186,2.60487699508667,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_3p8.yaml,91.00878
2025-09-16T20:22:47,strategy_params.tp_atr_mult,4.0,131.948114,1.637182,-1.973,11.441,1162,2.79487681388855,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p0.yaml,96.79929800000001
2025-09-16T20:22:50,strategy_params.tp_atr_mult,4.2,129.978709,1.594263,-2.235,10.564,1123,2.5596344470977783,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p2.yaml,89.929865
2025-09-16T20:22:52,strategy_params.tp_atr_mult,4.4,127.202867,1.527041,-2.418,9.595,1094,2.5393762588500977,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p4.yaml,81.502359
2025-09-16T20:22:55,strategy_params.tp_atr_mult,4.6,128.577504,1.57333,-2.222,9.871,1057,2.4897518157958984,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p6.yaml,84.812464
2025-09-16T20:22:57,strategy_params.tp_atr_mult,4.8,128.211754,1.591671,-2.617,9.592,1017,2.4117133617401123,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p8.yaml,83.27180600000001
2025-09-16T20:23:00,strategy_params.sl_atr_mult,0.35,133.250394,1.684305,-1.828,11.886,1197,2.358644485473633,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p35.yaml,100.89205399999999
2025-09-16T20:23:03,strategy_params.sl_atr_mult,0.37,131.098411,1.62529,-2.049,11.12,1177,2.8517658710479736,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p37.yaml,94.20189099999999
2025-09-16T20:23:06,strategy_params.sl_atr_mult,0.39,132.113424,1.648445,-1.95,11.397,1158,3.3120968341827393,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p39.yaml,96.87976400000001
2025-09-16T20:23:06,strategy_params.sl_atr_mult,0.4,131.948114,1.637182,-1.973,11.441,1162,2.79487681388855,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p4.yaml,96.79929800000001
2025-09-16T20:23:09,strategy_params.sl_atr_mult,0.41,131.987518,1.637348,-2.056,11.437,1156,3.158390522003174,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p41.yaml,96.82069399999999
2025-09-16T20:23:12,strategy_params.sl_atr_mult,0.43,130.91769,1.601774,-2.114,11.069,1150,2.854584217071533,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p43.yaml,93.48397800000001
2025-09-16T20:23:15,strategy_params.sl_atr_mult,0.45,130.918726,1.612825,-2.145,11.104,1119,3.0990843772888184,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p45.yaml,93.79262599999998
2025-09-16T20:23:18,strategy_params.sl_atr_mult,0.47,130.996573,1.624589,-2.233,11.067,1085,2.7319788932800293,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p47.yaml,93.82664100000002
2025-09-16T20:23:20,strategy_params.sl_atr_mult,0.49,130.73522,1.624256,-2.277,10.972,1066,2.490907669067383,t3m_30d_20250916_202234/tune_tmp/t3m_30d_s2_rays_strategy_params.sl_atr_mult_0p49.yaml,93.086292
