ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml,score
2025-09-23T17:18:46,strategy_params.tp_atr_mult,3.2,74.015833,1.623517,-3.59,10.676,223,1.4027652740478516,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_3p2.yaml,29.31502428166667
2025-09-23T17:18:48,strategy_params.tp_atr_mult,3.3,74.386564,1.658675,-3.529,11.252,222,1.3756895065307617,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_3p3.yaml,32.39298318000001
2025-09-23T17:18:49,strategy_params.tp_atr_mult,3.4,74.127377,1.64197,-3.45,10.726,219,1.3213067054748535,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_3p4.yaml,29.563171604999997
2025-09-23T17:18:51,strategy_params.tp_atr_mult,3.5,73.744459,1.628203,-3.436,10.211,215,1.4201576709747314,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_3p5.yaml,26.67827805833334
2025-09-23T17:18:52,strategy_params.tp_atr_mult,3.6,74.198025,1.710279,-3.395,11.009,209,1.4961683750152588,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_3p6.yaml,30.83336639166667
2025-09-23T17:18:54,strategy_params.tp_atr_mult,3.7,73.553174,1.619814,-3.38,9.903,208,1.5160133838653564,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_3p7.yaml,24.778812520000002
2025-09-23T17:18:55,strategy_params.tp_atr_mult,3.8,73.851808,1.674155,-3.375,10.304,203,1.309896469116211,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_3p8.yaml,26.92169845666667
2025-09-23T17:18:57,strategy_params.tp_atr_mult,3.9,74.08848,1.685934,-3.472,10.715,203,1.7505302429199219,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_3p9.yaml,28.941630766666677
2025-09-23T17:18:57,strategy_params.tp_atr_mult,4.0,74.038674,1.691934,-3.464,10.618,198,1.8122670650482178,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p0.yaml,28.259851620000003
2025-09-23T17:18:58,strategy_params.tp_atr_mult,4.1,74.080613,1.709348,-3.447,10.683,196,1.4933407306671143,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p1.yaml,28.593650213333333
2025-09-23T17:19:00,strategy_params.tp_atr_mult,4.2,74.325861,1.731101,-3.496,10.934,197,1.7602300643920898,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p2.yaml,30.074191478333336
2025-09-23T17:19:02,strategy_params.tp_atr_mult,4.3,74.469443,1.748291,-3.479,11.131,195,1.6994922161102295,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p3.yaml,31.026066225
2025-09-23T17:19:03,strategy_params.tp_atr_mult,4.4,74.939593,1.812907,-3.448,11.919,193,1.8678481578826904,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p4.yaml,35.055309765
2025-09-23T17:19:05,strategy_params.tp_atr_mult,4.5,75.319232,1.924666,-3.425,12.542,189,1.7559418678283691,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p5.yaml,38.52985198
2025-09-23T17:19:07,strategy_params.tp_atr_mult,4.6,75.390955,1.935385,-3.423,12.526,187,1.7952518463134766,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p6.yaml,38.45255005833334
2025-09-23T17:19:09,strategy_params.tp_atr_mult,4.7,75.215002,1.894231,-3.419,12.235,188,1.6375839710235596,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p7.yaml,36.87028042666666
2025-09-23T17:19:10,strategy_params.tp_atr_mult,4.8,75.301772,1.884287,-3.405,12.375,190,1.4743719100952148,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s1_rays_strategy_params.tp_atr_mult_4p8.yaml,37.582707633333335
2025-09-23T17:19:12,strategy_params.sl_atr_mult,0.3,75.284722,1.926379,-2.946,12.698,206,1.8476917743682861,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p3.yaml,40.51247845333334
2025-09-23T17:19:14,strategy_params.sl_atr_mult,0.31,75.220732,1.911411,-3.022,12.565,204,1.6956446170806885,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p31.yaml,39.61426728
2025-09-23T17:19:16,strategy_params.sl_atr_mult,0.32,75.052796,1.872727,-3.117,12.244,204,1.6604499816894531,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p32.yaml,37.80005544000001
2025-09-23T17:19:17,strategy_params.sl_atr_mult,0.33,75.053176,1.872815,-3.09,12.244,202,1.3163254261016846,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p33.yaml,37.65110941999999
2025-09-23T17:19:18,strategy_params.sl_atr_mult,0.34,74.972218,1.854238,-3.161,12.135,201,1.4066815376281738,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p34.yaml,36.89831433
2025-09-23T17:19:20,strategy_params.sl_atr_mult,0.35,74.966585,1.862059,-3.232,12.041,196,1.2471575736999512,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p35.yaml,36.20153133333333
2025-09-23T17:19:21,strategy_params.sl_atr_mult,0.36,74.927005,1.852984,-3.304,11.942,194,1.318613052368164,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p36.yaml,35.540702383333326
2025-09-23T17:19:22,strategy_params.sl_atr_mult,0.37,75.405744,1.945934,-3.354,12.717,190,1.3948001861572266,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p37.yaml,39.5675686
2025-09-23T17:19:22,strategy_params.sl_atr_mult,0.38,75.319232,1.924666,-3.425,12.542,189,1.7559418678283691,tune_tmp/t5m5000_greedy_20250923_171843/t5m5000_greedy_s2_rays_strategy_params.sl_atr_mult_0p38.yaml,38.52985198
