ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml,score
2025-09-14T18:10:49,strategy_params.tp_atr_mult,2.0,117.62497,1.308717,-4.322,6.039,712,4.411680221557617,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_2p0.yaml,51.524574
2025-09-14T18:10:53,strategy_params.tp_atr_mult,2.2,117.690295,1.308036,-4.595,5.958,680,4.501128196716309,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_2p2.yaml,51.17672700000001
2025-09-14T18:10:58,strategy_params.tp_atr_mult,2.4,118.969147,1.330775,-4.459,6.34,646,4.420905351638794,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_2p4.yaml,54.638447000000006
2025-09-14T18:11:02,strategy_params.tp_atr_mult,2.6,120.409614,1.345364,-4.085,6.621,637,4.642215967178345,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_2p6.yaml,57.65898200000001
2025-09-14T18:11:07,strategy_params.tp_atr_mult,2.8,119.438667,1.336814,-3.74,6.33,606,4.7377684116363525,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_2p8.yaml,55.13043499999999
2025-09-14T18:11:12,strategy_params.tp_atr_mult,3.0,117.868323,1.315372,-3.866,5.828,575,4.824174404144287,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_3p0.yaml,50.792787000000004
2025-09-14T18:11:16,strategy_params.tp_atr_mult,3.2,116.641971,1.296283,-4.016,5.343,552,4.43717360496521,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_3p2.yaml,46.912367
2025-09-14T18:11:21,strategy_params.tp_atr_mult,3.4,117.942817,1.324686,-3.931,5.759,540,4.125068187713623,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_3p4.yaml,50.634049000000005
2025-09-14T18:11:25,strategy_params.tp_atr_mult,3.6,118.435218,1.337007,-3.969,5.846,518,3.993356227874756,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_3p6.yaml,51.70930200000001
2025-09-14T18:11:29,strategy_params.tp_atr_mult,3.8,122.153077,1.40834,-3.742,6.961,512,4.093843698501587,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_3p8.yaml,61.85815699999999
2025-09-14T18:11:33,strategy_params.tp_atr_mult,4.0,119.737419,1.370386,-3.948,6.182,487,4.600141286849976,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_4p0.yaml,55.09205100000001
2025-09-14T18:11:38,strategy_params.tp_atr_mult,4.2,119.814451,1.366056,-4.047,6.197,481,4.6765124797821045,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_4p2.yaml,55.192123
2025-09-14T18:11:43,strategy_params.tp_atr_mult,4.4,121.999237,1.421318,-4.204,6.915,466,4.816784143447876,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_4p4.yaml,61.630053
2025-09-14T18:11:43,strategy_params.tp_atr_mult,4.6,124.064647,1.485804,-3.732,7.465,455,5.052634239196777,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_4p6.yaml,67.21929499999999
2025-09-14T18:11:47,strategy_params.tp_atr_mult,4.8,124.891343,1.498833,-3.691,7.723,448,4.57750678062439,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_4p8.yaml,69.49233900000002
2025-09-14T18:11:52,strategy_params.tp_atr_mult,5.0,125.322284,1.508318,-3.57,7.928,445,4.398335933685303,tune_tmp/t5m_30d_s1_rays_strategy_params.tp_atr_mult_5p0.yaml,71.0621
2025-09-14T18:11:57,strategy_params.sl_atr_mult,0.5,136.903528,1.852742,-2.93,12.286,590,4.715824604034424,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p5.yaml,108.56643199999999
2025-09-14T18:12:01,strategy_params.sl_atr_mult,0.55,137.338092,1.831897,-3.215,12.334,580,4.241995811462402,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p55.yaml,108.990856
2025-09-14T18:12:05,strategy_params.sl_atr_mult,0.6,134.609289,1.749783,-3.287,11.362,569,4.583307504653931,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p6.yaml,100.416685
2025-09-14T18:12:10,strategy_params.sl_atr_mult,0.65,134.134381,1.731792,-3.401,11.097,554,4.495346546173096,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p65.yaml,98.40088499999999
2025-09-14T18:12:14,strategy_params.sl_atr_mult,0.7,129.959059,1.628769,-3.531,9.816,536,4.534936904907227,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p7.yaml,86.584287
2025-09-14T18:12:18,strategy_params.sl_atr_mult,0.75,129.267377,1.602987,-3.552,9.568,524,3.7787389755249023,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p75.yaml,84.343221
2025-09-14T18:12:24,strategy_params.sl_atr_mult,0.8,128.293559,1.581601,-3.5,9.11,508,5.610020160675049,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p8.yaml,80.82277099999999
2025-09-14T18:12:29,strategy_params.sl_atr_mult,0.85,128.293658,1.57329,-3.182,9.017,494,4.681999921798706,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p85.yaml,80.25813799999999
2025-09-14T18:12:35,strategy_params.sl_atr_mult,0.9,128.099149,1.568058,-3.159,9.012,484,6.075071334838867,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p9.yaml,79.97584500000002
2025-09-14T18:12:40,strategy_params.sl_atr_mult,0.95,127.950485,1.564512,-3.108,8.962,475,5.223180770874023,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_0p95.yaml,79.534629
2025-09-14T18:12:44,strategy_params.sl_atr_mult,1.0,125.966553,1.513303,-3.253,8.277,467,4.234632253646851,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_1p0.yaml,73.511189
2025-09-14T18:12:48,strategy_params.sl_atr_mult,1.05,126.389329,1.530796,-3.398,8.301,450,3.9479281902313232,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_1p05.yaml,74.263881
2025-09-14T18:12:48,strategy_params.sl_atr_mult,1.08,125.322284,1.508318,-3.57,7.928,445,4.398335933685303,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_1p08.yaml,71.0621
2025-09-14T18:12:52,strategy_params.sl_atr_mult,1.1,124.654247,1.492736,-3.606,7.689,440,3.927647829055786,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_1p1.yaml,69.012079
2025-09-14T18:12:56,strategy_params.sl_atr_mult,1.15,123.66776,1.474055,-4.08,7.407,431,3.723144054412842,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_1p15.yaml,66.39142
2025-09-14T18:12:59,strategy_params.sl_atr_mult,1.2,122.794009,1.45637,-4.483,7.146,422,3.4823057651519775,tune_tmp/t5m_30d_s2_rays_strategy_params.sl_atr_mult_1p2.yaml,64.000449
2025-09-14T18:13:04,min-atr,0.02,141.729772,1.524738,-3.135,9.401,1299,4.899285793304443,tune_tmp/t5m_30d_s3_rays_min-atr_0p02.yaml,95.03162799999998
2025-09-14T18:13:09,min-atr,0.025,140.154513,1.686185,-3.222,10.965,848,4.837841510772705,tune_tmp/t5m_30d_s3_rays_min-atr_0p025.yaml,103.21373300000002
2025-09-14T18:13:09,min-atr,0.03,137.338092,1.831897,-3.215,12.334,580,4.241995811462402,tune_tmp/t5m_30d_s3_rays_min-atr_0p03.yaml,108.990856
2025-09-14T18:13:13,min-atr,0.035,129.23836,1.797007,-3.166,11.863,424,4.318463325500488,tune_tmp/t5m_30d_s3_rays_min-atr_0p035.yaml,98.117444
2025-09-14T18:13:17,min-atr,0.04,121.669821,1.794609,-3.056,11.001,288,4.0550642013549805,tune_tmp/t5m_30d_s3_rays_min-atr_0p04.yaml,86.210129
2025-09-14T18:13:22,min-atr,0.045,117.8895,1.796378,-3.294,11.059,217,4.414737224578857,tune_tmp/t5m_30d_s3_rays_min-atr_0p045.yaml,82.17689257272727
2025-09-14T18:13:26,min-atr,0.05,111.412449,1.656362,-3.633,8.969,154,4.098652362823486,tune_tmp/t5m_30d_s3_rays_min-atr_0p05.yaml,54.51372404999999
2025-09-14T18:13:31,min-mom,0.01,137.668069,1.807041,-3.361,12.201,594,4.71920108795166,tune_tmp/t5m_30d_s4_rays_min-mom_0p01.yaml,108.357561
2025-09-14T18:13:35,min-mom,0.015,137.917434,1.829336,-3.254,12.313,586,4.5075623989105225,tune_tmp/t5m_30d_s4_rays_min-mom_0p015.yaml,109.43446599999999
2025-09-14T18:13:40,min-mom,0.02,137.834981,1.826045,-3.26,12.318,589,4.504560232162476,tune_tmp/t5m_30d_s4_rays_min-mom_0p02.yaml,109.337521
2025-09-14T18:13:44,min-mom,0.025,137.991936,1.832296,-3.154,12.368,587,4.329451084136963,tune_tmp/t5m_30d_s4_rays_min-mom_0p025.yaml,109.819488
2025-09-14T18:13:48,min-mom,0.03,138.101173,1.837216,-3.255,12.435,585,4.282527685165405,tune_tmp/t5m_30d_s4_rays_min-mom_0p03.yaml,110.322765
2025-09-14T18:13:53,min-mom,0.035,137.767727,1.823741,-3.356,12.398,591,4.312191009521484,tune_tmp/t5m_30d_s4_rays_min-mom_0p035.yaml,109.642619
2025-09-14T18:13:57,min-mom,0.04,137.70087,1.824856,-3.324,12.406,589,4.613062858581543,tune_tmp/t5m_30d_s4_rays_min-mom_0p04.yaml,109.629142
2025-09-14T18:14:02,min-mom,0.045,137.321385,1.816376,-3.321,12.302,589,4.448065996170044,tune_tmp/t5m_30d_s4_rays_min-mom_0p045.yaml,108.62789699999999
2025-09-14T18:14:02,min-mom,0.05,137.338092,1.831897,-3.215,12.334,580,4.241995811462402,tune_tmp/t5m_30d_s4_rays_min-mom_0p05.yaml,108.990856
2025-09-14T18:14:06,min-mom,0.055,137.253232,1.849946,-3.15,12.389,569,4.571335315704346,tune_tmp/t5m_30d_s4_rays_min-mom_0p055.yaml,109.397584
2025-09-14T18:14:11,min-mom,0.06,137.315754,1.857007,-3.05,12.423,566,4.683448553085327,tune_tmp/t5m_30d_s4_rays_min-mom_0p06.yaml,109.714838
2025-09-14T18:14:16,min-mom,0.065,137.394689,1.869892,-3.054,12.559,562,4.900773048400879,tune_tmp/t5m_30d_s4_rays_min-mom_0p065.yaml,110.62839299999999
2025-09-14T18:14:20,min-mom,0.07,137.978934,1.902214,-3.054,12.781,556,4.559548854827881,tune_tmp/t5m_30d_s4_rays_min-mom_0p07.yaml,112.71050200000002
2025-09-14T18:14:25,strategy_params.heat_exit_threshold,0.4,138.981968,1.859044,-2.772,11.022,561,4.9287683963775635,tune_tmp/t5m_30d_s5_rays_strategy_params.heat_exit_threshold_0p4.yaml,104.40049599999999
2025-09-14T18:14:30,strategy_params.heat_exit_threshold,0.45,138.040532,1.8411,-2.698,10.795,558,4.907932996749878,tune_tmp/t5m_30d_s5_rays_strategy_params.heat_exit_threshold_0p45.yaml,102.108732
2025-09-14T18:14:35,strategy_params.heat_exit_threshold,0.5,137.480124,1.828491,-2.701,10.76,558,4.983150482177734,tune_tmp/t5m_30d_s5_rays_strategy_params.heat_exit_threshold_0p5.yaml,101.222016
2025-09-14T18:14:40,strategy_params.heat_exit_threshold,0.55,136.681516,1.816712,-2.823,10.864,555,4.901870012283325,tune_tmp/t5m_30d_s5_rays_strategy_params.heat_exit_threshold_0p55.yaml,100.80206
2025-09-14T18:14:45,strategy_params.heat_exit_threshold,0.6,136.042092,1.809317,-3.074,10.784,555,4.789674758911133,tune_tmp/t5m_30d_s5_rays_strategy_params.heat_exit_threshold_0p6.yaml,99.673896
