symbol,side,entry_time,exit_time,entry,exit,tp,sl,reason,gross_return,net_return,notional,realized_pnl
MEME/USDT:USDT,LONG,2025-08-20T17:30:00+00:00,2025-08-20T19:45:00+00:00,0.002822,0.002971,0.0029583662069402345,0.0027695514588691405,TP,0.052799433026222635,0.05019943302622263,49.0,2.459772218284909
MEME/USDT:USDT,LONG,2025-08-20T19:45:00+00:00,2025-08-20T20:00:00+00:00,0.002971,0.002913,0.0030885866861122785,0.0029257743514952777,SL,-0.019522046449007176,-0.022122046449007178,49.0,-1.0839802760013517
MEME/USDT:USDT,LONG,2025-08-20T20:00:00+00:00,2025-08-20T21:25:00+00:00,0.002913,0.002853,0.003037903990301995,0.0028649600037300017,SL,-0.020597322348094655,-0.023197322348094657,49.0,-1.136668795056638
MEME/USDT:USDT,LONG,2025-08-20T21:25:00+00:00,2025-08-20T23:35:00+00:00,0.002853,0.00281,0.0029599579584942024,0.002811862323656076,SL,-0.015071854188573456,-0.017671854188573456,49.0,-0.8659208552400993
SCR/USDT:USDT,LONG,2025-08-20T23:35:00+00:00,2025-08-21T00:05:00+00:00,0.4266,0.4201,0.43669778537611414,0.42271623639380224,SL,-0.01523675574308487,-0.017836755743084874,49.0,-0.8740010314111588
SCR/USDT:USDT,LONG,2025-08-21T00:05:00+00:00,2025-08-21T00:35:00+00:00,0.4201,0.4156,0.4313597949904876,0.4157693096190432,SL,-0.01071173530111866,-0.01331173530111866,49.0,-0.6522750297548143
SIREN/USDT:USDT,LONG,2025-08-20T17:30:00+00:00,2025-08-21T22:15:00+00:00,0.0917,0.09674,0.096102314411633,0.09000680214937193,TP,0.05496183206106873,0.052361832061068724,49.0,2.5657297709923674
CUDIS/USDT:USDT,LONG,2025-08-21T22:15:00+00:00,2025-08-21T22:40:00+00:00,0.1004,0.09849,0.10534006159584829,0.09849997630928913,SL,-0.019023904382470206,-0.021623904382470208,49.0,-1.0595713147410402
BIO/USDT:USDT,LONG,2025-08-21T22:15:00+00:00,2025-08-21T23:00:00+00:00,0.1705,0.17903,0.17765393414826325,0.16774848686605262,TP,0.050029325513196374,0.04742932551319637,49.0,2.3240369501466223
BIO/USDT:USDT,LONG,2025-08-21T23:00:00+00:00,2025-08-21T23:15:00+00:00,0.17903,0.17359,0.18635116078887037,0.17621416892735756,SL,-0.030385968832039326,-0.032985968832039324,49.0,-1.616312472769927
