symbol,side,entry_time,exit_time,entry,exit,tp,sl,action,reason,gross_return,net_return,notional,fees_paid,realized_pnl
TA/USDT:USDT,SHORT,2025-09-06T17:57:00+00:00,2025-09-06T19:24:00+00:00,0.10885,0.10712,0.09778876466007058,0.10990081735729329,EXIT,heat<0.85,0.015893431327514886,0.010693431327514887,4.5,0.009000000000000001,0.048120440973816986
PRCL/USDT:USDT,LONG,2025-09-07T01:00:00+00:00,2025-09-07T01:03:00+00:00,0.0823,0.08166874806711619,0.0889447571882506,0.08166874806711619,SL,SL,-0.0076701328418446076,-0.012870132841844607,4.5,0.009000000000000001,-0.05791559778830073
PRCL/USDT:USDT,LONG,2025-09-07T01:03:00+00:00,2025-09-07T01:06:00+00:00,0.0814,0.08075955177660789,0.0881415602462327,0.08075955177660789,SL,SL,-0.00786791429228639,-0.01306791429228639,4.5,0.009000000000000001,-0.05880561431528875
PRCL/USDT:USDT,LONG,2025-09-07T01:06:00+00:00,2025-09-07T01:30:00+00:00,0.0793,0.07863472664970733,0.08630287737150179,0.07863472664970733,SL,SL,-0.008389323458923882,-0.013589323458923882,4.5,0.009000000000000001,-0.06115195556515747
PRCL/USDT:USDT,LONG,2025-09-07T01:30:00+00:00,2025-09-07T01:54:00+00:00,0.0778,0.079,0.0844637648312048,0.07716694234103554,EXIT,heat<0.85,0.01542416452442168,0.01022416452442168,4.5,0.009000000000000001,0.04600874035989756
GOR/USDT:USDT,LONG,2025-09-07T11:39:00+00:00,2025-09-07T11:42:00+00:00,0.01234,0.012244386407360445,0.013346458869890051,0.012244386407360445,SL,SL,-0.007748265205798629,-0.012948265205798629,4.5,0.009000000000000001,-0.05826719342609383
GOR/USDT:USDT,LONG,2025-09-07T11:42:00+00:00,2025-09-07T11:57:00+00:00,0.01218,0.01237,0.01316599752204076,0.012086330235406128,EXIT,heat<0.85,0.015599343185550158,0.010399343185550159,4.5,0.009000000000000001,0.04679704433497572
ASR/USDT:USDT,LONG,2025-09-07T14:00:00+00:00,2025-09-07T14:03:00+00:00,2.815,2.7931284436991626,3.0452269084298678,2.7931284436991626,SL,SL,-0.007769646998521268,-0.012969646998521269,4.5,0.009000000000000001,-0.05836341149334571
ASR/USDT:USDT,LONG,2025-09-07T14:03:00+00:00,2025-09-07T14:45:00+00:00,2.773,2.905,3.0010678435420206,2.773,TP_PARTIAL,TP50,0.047601875225387544,0.04240187522538754,2.25,0.0045000000000000005,0.09540421925712196
TA/USDT:USDT,LONG,2025-09-07T15:06:00+00:00,2025-09-07T15:27:00+00:00,0.11617,0.1222,0.1256664855246076,0.11617,TP_PARTIAL,TP50,0.05190668847378848,0.04670668847378848,2.25,0.0045000000000000005,0.10509004906602407
ASR/USDT:USDT,LONG,2025-09-07T14:03:00+00:00,2025-09-07T15:42:00+00:00,2.773,2.824,3.0010678435420206,2.773,EXIT,heat<0.85,0.018391633609808767,0.013191633609808767,2.25,0.0045000000000000005,0.029681175622069726
TAC/USDT:USDT,LONG,2025-09-07T15:51:00+00:00,2025-09-07T16:27:00+00:00,0.01086,0.01077389926094169,0.011766323569034835,0.01077389926094169,SL,SL,-0.00792824484883147,-0.01312824484883147,4.5,0.009000000000000001,-0.059077101819741615
TA/USDT:USDT,LONG,2025-09-07T15:06:00+00:00,2025-09-07T16:33:00+00:00,0.11617,0.1256664855246076,0.1256664855246076,0.11617,TP,TP,0.08174645368518212,0.07654645368518212,2.25,0.0045000000000000005,0.17222952079165976
B3/USDT:USDT,LONG,2025-09-07T16:09:00+00:00,2025-09-07T16:48:00+00:00,0.003008,0.002984296833812482,0.0032575070125001864,0.002984296833812482,SL,SL,-0.00788004195063752,-0.013080041950637519,4.5,0.009000000000000001,-0.05886018877786883
TA/USDT:USDT,LONG,2025-09-07T16:33:00+00:00,2025-09-07T16:48:00+00:00,0.12612,0.1250084678626668,0.1378203382877179,0.1250084678626668,SL,SL,-0.008813290020085622,-0.014013290020085622,4.5,0.009000000000000001,-0.06305980509038529
B3/USDT:USDT,LONG,2025-09-07T16:48:00+00:00,2025-09-07T17:27:00+00:00,0.002967,0.0029432510745881465,0.003216988688545829,0.0029432510745881465,SL,SL,-0.008004356390917953,-0.013204356390917953,4.5,0.009000000000000001,-0.05941960375913079
TA/USDT:USDT,LONG,2025-09-07T16:48:00+00:00,2025-09-07T17:30:00+00:00,0.12257,0.12651,0.1339847575858676,0.12148559802934258,EXIT,heat<0.85,0.03214489679366903,0.02694489679366903,4.5,0.009000000000000001,0.12125203557151062
TA/USDT:USDT,LONG,2025-09-07T18:51:00+00:00,2025-09-07T18:54:00+00:00,0.12142,0.12031681806636851,0.1330324414066472,0.12031681806636851,SL,SL,-0.009085669030073186,-0.014285669030073186,4.5,0.009000000000000001,-0.06428551063532933
TA/USDT:USDT,LONG,2025-09-07T18:54:00+00:00,2025-09-07T19:06:00+00:00,0.12028,0.11919183106162791,0.13173440987760096,0.11919183106162791,SL,SL,-0.009046964901663526,-0.014246964901663526,4.5,0.009000000000000001,-0.06411134205748587
GPS/USDT:USDT,LONG,2025-09-07T19:18:00+00:00,2025-09-07T19:21:00+00:00,0.01523,0.01511279423078484,0.01646374493910695,0.01511279423078484,SL,SL,-0.007695716954376937,-0.012895716954376937,4.5,0.009000000000000001,-0.05803072629469622
