error,elapsed_sec,score,param,value,stage_idx,stage_mode
"ValueError(""could not convert string to float: ''"")",0.016332626342773438,-1e+30,baseline,baseline,,
"ValueError(""could not convert string to float: ''"")",0.07117748260498047,-1e+30,strategy_params_long.tpPercent,0.28,1,rays
"ValueError(""could not convert string to float: ''"")",0.00034880638122558594,-1e+30,strategy_params_long.tpPercent,0.30000000000000004,1,rays
"ValueError(""could not convert string to float: ''"")",0.00021338462829589844,-1e+30,strategy_params_long.tpPercent,0.32,1,rays
"ValueError(""could not convert string to float: ''"")",9.870529174804688e-05,-1e+30,strategy_params_long.tpPercent,0.34,1,rays
"ValueError(""could not convert string to float: ''"")",0.00010561943054199219,-1e+30,strategy_params_long.tpPercent,0.36000000000000004,1,rays
"ValueError(""could not convert string to float: ''"")",8.630752563476562e-05,-1e+30,strategy_params_long.tpPercent,0.38,1,rays
"ValueError(""could not convert string to float: ''"")",8.58306884765625e-05,-1e+30,strategy_params_long.tpPercent,0.4,1,rays
"ValueError(""could not convert string to float: ''"")",0.00021386146545410156,-1e+30,strategy_params_short.tpPercent,0.17,2,rays
"ValueError(""could not convert string to float: ''"")",0.0001614093780517578,-1e+30,strategy_params_short.tpPercent,0.19,2,rays
"ValueError(""could not convert string to float: ''"")",0.00015425682067871094,-1e+30,strategy_params_short.tpPercent,0.21000000000000002,2,rays
"ValueError(""could not convert string to float: ''"")",0.00026488304138183594,-1e+30,strategy_params_short.tpPercent,0.23,2,rays
"ValueError(""could not convert string to float: ''"")",0.00013685226440429688,-1e+30,strategy_params_short.tpPercent,0.25,2,rays
"ValueError(""could not convert string to float: ''"")",9.107589721679688e-05,-1e+30,strategy_params_short.tpPercent,0.27,2,rays
"ValueError(""could not convert string to float: ''"")",0.00012612342834472656,-1e+30,strategy_params_short.tpPercent,0.29000000000000004,2,rays
"ValueError(""could not convert string to float: ''"")",0.00020313262939453125,-1e+30,strategy_params_long.subSellTPPercent,0.41000000000000003,3,rays
