symbol,side,entry_time,exit_time,entry,exit,tp,sl,action,reason,gross_return,net_return,notional,fees_paid,realized_pnl,unrealized_pnl,sub_trade_pnl
ENS/USDT:USDT,LONG,2026-04-23T00:12:00+00:00,2026-04-23T15:15:00+00:00,6.053,6.174,6.484,5.342,TP_PARTIAL,tp1,0.019990087559887734,0.017142347559887732,33.33333333,0.033333333330000006,0.57141158527245,0.0,0.57141158527245
ENS/USDT:USDT,LONG,2026-04-23T00:12:00+00:00,2026-04-24T06:24:00+00:00,6.053,6.306,6.484,5.342,TP_PARTIAL,tp2,0.04179745580703785,0.03894971580703785,33.333333335,0.033333333335,1.298323860299511,0.0,1.298323860299511
OP/USDT:USDT,LONG,2026-04-24T12:36:00+00:00,2026-04-24T20:00:00+00:00,0.1229,0.126,0.1353,0.1064,TP_PARTIAL,tp1,0.02522375915378361,0.022376019153783608,33.33333333,0.033333333330000006,0.7458673050515335,0.0,0.7458673050515335
OP/USDT:USDT,LONG,2026-04-24T12:36:00+00:00,2026-04-25T03:48:00+00:00,0.1229,0.1287,0.1353,0.1064,TP_PARTIAL,tp2,0.047192839707079035,0.04434509970707903,33.333333335,0.033333333335,1.4781699903098762,0.0,1.4781699903098762
GALA/USDT:USDT,LONG,2026-05-05T14:45:00+00:00,2026-05-05T16:03:00+00:00,0.003257,0.003302,0.003599,0.002927,TP_PARTIAL,tp1,0.01381639545594102,0.010968655455941018,33.333333329999995,0.03333333332999999,0.36562184849480506,0.0,0.36562184849480506
GALA/USDT:USDT,LONG,2026-05-05T14:45:00+00:00,2026-05-05T20:12:00+00:00,0.003257,0.003445,0.003599,0.002927,TP_PARTIAL,tp2,0.05772182990482046,0.054874089904820456,33.333333335,0.033333333335,1.8291363302521386,0.0,1.8291363302521386
GALA/USDT:USDT,LONG,2026-05-05T14:45:00+00:00,2026-05-05T21:36:00+00:00,0.003257,0.003599,0.003599,0.002927,TP,tp3,0.10500460546515207,0.10215686546515207,33.333333335,0.033333333335,3.4052288490086635,0.0,0.0
SUI/USDT:USDT,LONG,2026-04-22T13:15:00+00:00,2026-05-06T03:33:00+00:00,0.9687,0.9877,1.0435,0.8623,TP_PARTIAL,tp1,0.01961391555693199,0.016766175556931988,33.333333329999995,0.03333333332999999,0.5588725185085123,0.0,0.5588725185085123
ENS/USDT:USDT,LONG,2026-04-23T00:12:00+00:00,2026-05-06T03:39:00+00:00,6.053,6.484,6.484,5.342,TP,tp3,0.07120436147364943,0.06835662147364943,33.333333335,0.033333333335,2.2785540492355754,0.0,0.0
OP/USDT:USDT,LONG,2026-04-24T12:36:00+00:00,2026-05-06T08:54:00+00:00,0.1229,0.1353,0.1353,0.1064,TP,tp3,0.10089503661513433,0.09804729661513432,33.333333335,0.033333333335,3.2682432206678897,0.0,0.0
SUI/USDT:USDT,LONG,2026-04-22T13:15:00+00:00,2026-05-06T09:30:00+00:00,0.9687,1.0176,1.0435,0.8623,TP_PARTIAL,tp2,0.05048002477547234,0.047632284775472336,33.333333335,0.033333333335,1.587742825928465,0.0,1.587742825928465
