message_idx,dt_utc,symbol,side,leverage,entry_a,entry_b,sl,tp1,tp2,tp3,raw_text,entry_low,entry_high,entry_mid,zone_pct,sl_extra_pct,tp1_pct,tp2_pct,tp3_pct
2,2024-12-22T08:22:32+00:00,PERP,long,30,0.8092,0.7311,0.6955,0.8385,0.884,0.9,"заходжу в perp long 30x
📈
📣
точка входу: 0.8092 - 0.7311
✅
тейк-профіт: 0.8385, 0.8840, 0.9000
🤚
стоп-лосс: 0.6955
✍️
на графіку бачим ребалансований рух в зону ордер блоку на 1д тф, також зміну характеру ціни, зверху eqh, зараз знаходимось в зоні sell to buy, звідси хочу побачити подальший рух!",0.7311,0.8092,0.77015,0.1014088164643252,0.04869374914512374,0.03620860108749381,0.09243697478991593,0.11220958971824023
5,2024-12-26T07:08:33+00:00,UNI,long,30,9.245,8.319,7.765,9.685,10.793,12.122,"заходжу в uni long 30x
📈
📣
точка входу: 9.245 - 8.319
✅
тейк-профіт: 9.685, 10.793, 12.122
🤚
стоп-лосс: 7.765
✍️
на графіку бачим бичий наратив, також зміну характеру ціни, зверху buy side liquidity, зараз знаходимось в зоні блоку ордерів, звідси хочу побачити подальший рух!",8.319,9.245,8.782,0.10544295149168736,0.066594542613295,0.04759329367225541,0.1674418604651163,0.31119524067063287
10,2025-01-01T11:15:55+00:00,SSV,short,20,25.007,24.138,26.187,24.076,23.548,22.943,"заходжу в ssv short 20x
📈
📣
точка входу: 25.007 - 24.138
✅
тейк-профіт: 24.076,23.548,22.943
🤚
стоп-лосс: 26.187
✍️
на графіку бачим
о
ведмежий наратив, також зміну характеру ціни, знизу sell side liquidity, зараз знаходимос
я
в зоні шортового fvg, звідси хочу побачити подальший рух!",24.138,25.007,24.5725,0.03536473700274696,0.04718678769944414,0.0025685640898169344,0.02444278730632212,0.04950700140856741
13,2025-01-01T15:11:00+00:00,ORDI,long,20,27.235,25.855,25.32,27.733,28.082,28.824,"заходжу в ordi long 20x
📈
📣
точка входу: 27.235 - 25.855
✅
тейк-профіт: 27.733,28.082,28.824
🤚
стоп-лосс: 25.320
✍️
на графіку бачим
о
бичий наратив, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимос
я
в зоні лонгового fvg, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",25.855,27.235,26.545,0.0519871915614993,0.020692322568168636,0.018285294657609735,0.03109968790159726,0.0583440425922527
18,2025-01-02T11:51:05+00:00,VET,long,30,0.04835,0.04554,0.04433,0.04882,0.04986,0.05186,"заходжу в vet long 30x
📈
📣
точка входу: 0.04835 - 0.04554
✅
тейк-профіт: 0.04882, 0.04986, 0.05186
🤚
стоп-лосс: 0.04433
✍️
на графіку бачим
о
бичий htf raid, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимос
я
в зоні лонгового fvg, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.04554,0.04835,0.046945,0.059857279795505376,0.026570048309178654,0.009720785935884284,0.031230610134436496,0.07259565667011389
23,2025-01-03T11:00:46+00:00,MYRO,long,20,0.06814,0.06428,0.06279,0.06906,0.07244,0.0754,"заходжу в myro long 20x
📈
📣
точка входу: 0.06814 - 0.06428
✅
тейк-профіт: 0.06906,0.07244,0.07540
🤚
стоп-лосс: 0.06279
✍️
на графіку бачим
о
бичий наратив, також зміну характеру ціни, зверу buy side liquidity, зараз знаходимос
я
в зоні ltf raid, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.06428,0.06814,0.06621,0.058299350551276274,0.023179838207840777,0.013501614323451573,0.06310537129439386,0.10654534781332534
29,2025-01-04T10:32:01+00:00,JTO,long,30,3.1403,2.8846,2.83,3.1991,3.2687,3.4641,"заходжу в jto long 30x
📈
📣
точка входу: 3.1403 - 2.8846
✅
тейк-профіт: 3.1991,3.2687,3.4641
🤚
стоп-лосс: 2.8300
✍️
на графіку бачим
о
бичий наратив після мітігації денної зони блоку ордерів та htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні лонгового fvg, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",2.8846,3.1403,3.01245,0.08488107686434632,0.01892810094987165,0.01872432570136617,0.04088781326624847,0.10311116772282913
36,2025-01-06T11:12:47+00:00,PYTH,long,30,0.3923,0.365,0.3577,0.397,0.403,0.4087,"заходжу в pyth long 30x
📈
📣
точка входу: 0.3923 - 0.3650
✅
тейк-профіт: 0.3970,0.4030,0.4087
🤚
стоп-лосс: 0.3577
✍️
на графіку бачим
о
бичий наратив після мітігації денної зони блоку ордерів та htf raid, також зміну характеру ціни, звер
х
у buy side liquidity, зараз знаходимос
я
в зоні лонгового блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",0.365,0.3923,0.37865,0.07209824376072889,0.019999999999999928,0.011980627071119137,0.02727504460871793,0.04180474126943672
43,2025-01-07T11:16:30+00:00,JTO,long,30,3.2331,3.0729,2.9844,3.2571,3.348,3.4212,"заходжу в jto long 30x
📈
📣
точка входу: 3.2331 - 3.0729
✅
тейк-профіт: 3.2571,3.3480,3.4212
🤚
стоп-лосс: 2.9844
✍️
на графіку бачимо бичий наратив також зміну характеру ціни, зверху buy side liquidity, зараз знаходимось в зоні 1d брейкер блоку ордерів, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",3.0729,3.2331,3.153,0.05080875356803034,0.028800156204237117,0.007423216108378962,0.03553864711886425,0.058179456249420045
49,2025-01-08T11:57:57+00:00,XRP,long,30,2.3302,2.1268,2.0548,2.3614,2.4001,2.474,"заходжу в xrp long 30x
📈
📣
точка входу: 2.3302 - 2.1268
✅
тейк-профіт: 2.3614,2.4001,2.4740
🤚
стоп-лосс: 2.0548
✍️
на графіку бачимо бичий наратив також зміну характеру ціни, зверху buy side liquidity, зараз знаходимось в зоні 1d фвг та htf raid, звідси хочу побачити подальший рух!
заходимо в угоду на BingX
🔀",2.1268,2.3302,2.2285,0.09127215615885136,0.03385367688546155,0.013389408634452028,0.029997425113724174,0.06171144107801912
